Wavenumber,Intensity
650.4205,0.399190
651.3523,0.398268
652.2841,0.388871
653.2160,0.387457
654.1478,0.399865
655.0796,0.400134
656.0115,0.393349
656.9433,0.390493
657.8751,0.386559
658.8070,0.385830
659.7388,0.386695
660.6706,0.389877
661.6025,0.382995
662.5343,0.381325
663.4661,0.381583
664.3980,0.384178
665.3298,0.373396
666.2616,0.365747
667.1935,0.367170
668.1253,0.381826
669.0571,0.388127
669.9890,0.386140
670.9208,0.380885
671.8526,0.373022
672.7845,0.368293
673.7163,0.368451
674.6481,0.363952
675.5800,0.360950
676.5118,0.373204
677.4437,0.374527
678.3755,0.359112
679.3073,0.354961
680.2392,0.355901
681.1710,0.357813
682.1028,0.356530
683.0347,0.355123
683.9665,0.354390
684.8983,0.357392
685.8302,0.354657
686.7620,0.350004
687.6938,0.347034
688.6257,0.346747
689.5575,0.349684
690.4893,0.348869
691.4212,0.339629
692.3530,0.340581
693.2848,0.345532
694.2167,0.345716
695.1485,0.344229
696.0803,0.341479
697.0122,0.336805
697.9440,0.331581
698.8758,0.328229
699.8077,0.330203
700.7395,0.329448
701.6713,0.331665
702.6032,0.334630
703.5350,0.331265
704.4669,0.327637
705.3987,0.329809
706.3305,0.328840
707.2624,0.323439
708.1942,0.320745
709.1260,0.321211
710.0579,0.321583
710.9897,0.318803
711.9215,0.311685
712.8534,0.311745
713.7852,0.312440
714.7170,0.310858
715.6489,0.309734
716.5807,0.308162
717.5125,0.305104
718.4444,0.304033
719.3762,0.305280
720.3080,0.306385
721.2399,0.302666
722.1717,0.301951
723.1035,0.298558
724.0354,0.296272
724.9672,0.298917
725.8990,0.298017
726.8309,0.294704
727.7627,0.295030
728.6945,0.294053
729.6264,0.293150
730.5582,0.289097
731.4901,0.287318
732.4219,0.288375
733.3537,0.287687
734.2856,0.284276
735.2174,0.282681
736.1492,0.281732
737.0811,0.278402
738.0129,0.277065
738.9447,0.279184
739.8766,0.277560
740.8084,0.277539
741.7402,0.278153
742.6721,0.274780
743.6039,0.270625
744.5357,0.268730
745.4676,0.266963
746.3994,0.266963
747.3312,0.265616
748.2631,0.264375
749.1949,0.262542
750.1267,0.264038
751.0586,0.262841
751.9904,0.260225
752.9222,0.258550
753.8541,0.258533
754.7859,0.256233
755.7177,0.254313
756.6496,0.252010
757.5814,0.250901
758.5132,0.250479
759.4451,0.248020
760.3769,0.244943
761.3088,0.245194
762.2406,0.243615
763.1724,0.240749
764.1043,0.239575
765.0361,0.240996
765.9679,0.241184
766.8998,0.239346
767.8316,0.234765
768.7634,0.233869
769.6953,0.233488
770.6271,0.232978
771.5589,0.233282
772.4908,0.232609
773.4226,0.230882
774.3544,0.228092
775.2863,0.226425
776.2181,0.226615
777.1499,0.226331
778.0818,0.225787
779.0136,0.222504
779.9454,0.220090
780.8773,0.220044
781.8091,0.218464
782.7409,0.217167
783.6728,0.217718
784.6046,0.216035
785.5364,0.213594
786.4683,0.210915
787.4001,0.209710
788.3320,0.209871
789.2638,0.208708
790.1956,0.207374
791.1275,0.207038
792.0593,0.205714
792.9911,0.204890
793.9230,0.203081
794.8548,0.200630
795.7866,0.198185
796.7185,0.198224
797.6503,0.198125
798.5821,0.196679
799.5140,0.194000
800.4458,0.191759
801.3776,0.190330
802.3095,0.191686
803.2413,0.192191
804.1731,0.191106
805.1050,0.188221
806.0368,0.186404
806.9686,0.185485
807.9005,0.184133
808.8323,0.183468
809.7641,0.182085
810.6960,0.179260
811.6278,0.177343
812.5596,0.175750
813.4915,0.175161
814.4233,0.174630
815.3552,0.173424
816.2870,0.172348
817.2188,0.170374
818.1507,0.169694
819.0825,0.169366
820.0143,0.167822
820.9462,0.166369
821.8780,0.165358
822.8098,0.164578
823.7417,0.162317
824.6735,0.161949
825.6053,0.161621
826.5372,0.160385
827.4690,0.158920
828.4008,0.157258
829.3327,0.154922
830.2645,0.154269
831.1963,0.153805
832.1282,0.152233
833.0600,0.151277
833.9918,0.151367
834.9237,0.149887
835.8555,0.148260
836.7873,0.146825
837.7192,0.145634
838.6510,0.144981
839.5828,0.144387
840.5147,0.142982
841.4465,0.141797
842.3784,0.141091
843.3102,0.140388
844.2420,0.139120
845.1739,0.138150
846.1057,0.137476
847.0375,0.136606
847.9694,0.135243
848.9012,0.134527
849.8330,0.134139
850.7649,0.133988
851.6967,0.133110
852.6285,0.131667
853.5604,0.131414
854.4922,0.131385
855.4240,0.130711
856.3559,0.129939
857.2877,0.129191
858.2195,0.128268
859.1514,0.127109
860.0832,0.126108
861.0150,0.125200
861.9469,0.126116
862.8787,0.126375
863.8105,0.125443
864.7424,0.125334
865.6742,0.125901
866.6060,0.126427
867.5379,0.127181
868.4697,0.127895
869.4016,0.129702
870.3334,0.132435
871.2652,0.134622
872.1971,0.137195
873.1289,0.140928
874.0607,0.144997
874.9926,0.148386
875.9244,0.151236
876.8562,0.153778
877.7881,0.154721
878.7199,0.153549
879.6517,0.150136
880.5836,0.145790
881.5154,0.140616
882.4472,0.133940
883.3791,0.128047
