Wavenumber,Intensity
650.4205,0.396712
651.3523,0.380669
652.2841,0.377958
653.2160,0.389455
654.1478,0.399698
655.0796,0.399275
656.0115,0.390817
656.9433,0.386046
657.8751,0.379935
658.8070,0.372379
659.7388,0.369938
660.6706,0.382151
661.6025,0.385879
662.5343,0.376885
663.4661,0.372418
664.3980,0.373577
665.3298,0.369861
666.2616,0.366950
667.1935,0.361360
668.1253,0.366887
669.0571,0.386401
669.9890,0.382981
670.9208,0.374671
671.8526,0.373410
672.7845,0.371666
673.7163,0.366675
674.6481,0.362115
675.5800,0.365411
676.5118,0.362528
677.4437,0.357718
678.3755,0.359740
679.3073,0.365708
680.2392,0.360034
681.1710,0.355441
682.1028,0.352570
683.0347,0.350256
683.9665,0.349085
684.8983,0.350103
685.8302,0.347396
686.7620,0.347655
687.6938,0.345358
688.6257,0.344087
689.5575,0.343468
690.4893,0.341143
691.4212,0.340754
692.3530,0.339548
693.2848,0.335096
694.2167,0.335074
695.1485,0.336037
696.0803,0.339072
697.0122,0.343515
697.9440,0.338151
698.8758,0.327228
699.8077,0.325396
700.7395,0.323663
701.6713,0.322135
702.6032,0.322382
703.5350,0.323167
704.4669,0.325114
705.3987,0.324178
706.3305,0.318844
707.2624,0.317253
708.1942,0.315643
709.1260,0.313569
710.0579,0.310612
710.9897,0.311662
711.9215,0.311258
712.8534,0.311759
713.7852,0.310704
714.7170,0.309629
715.6489,0.310096
716.5807,0.309618
717.5125,0.306880
718.4444,0.305353
719.3762,0.302358
720.3080,0.299947
721.2399,0.299426
722.1717,0.299516
723.1035,0.296225
724.0354,0.293902
724.9672,0.293849
725.8990,0.294032
726.8309,0.292961
727.7627,0.290988
728.6945,0.291028
729.6264,0.292918
730.5582,0.289016
731.4901,0.285956
732.4219,0.285560
733.3537,0.285157
734.2856,0.285346
735.2174,0.285090
736.1492,0.280937
737.0811,0.277635
738.0129,0.273841
738.9447,0.275462
739.8766,0.275936
740.8084,0.272067
741.7402,0.268291
742.6721,0.268373
743.6039,0.268694
744.5357,0.267959
745.4676,0.267922
746.3994,0.267362
747.3312,0.262765
748.2631,0.261412
749.1949,0.261981
750.1267,0.261075
751.0586,0.257921
751.9904,0.256354
752.9222,0.256180
753.8541,0.254365
754.7859,0.253778
755.7177,0.252524
756.6496,0.249079
757.5814,0.247239
758.5132,0.246541
759.4451,0.245906
760.3769,0.244117
761.3088,0.243111
762.2406,0.242787
763.1724,0.242619
764.1043,0.240869
765.0361,0.240275
765.9679,0.239287
766.8998,0.235918
767.8316,0.232861
768.7634,0.231375
769.6953,0.230344
770.6271,0.229496
771.5589,0.227857
772.4908,0.226843
773.4226,0.227187
774.3544,0.227258
775.2863,0.225595
776.2181,0.223585
777.1499,0.222556
778.0818,0.222589
779.0136,0.220583
779.9454,0.218894
780.8773,0.216593
781.8091,0.213649
782.7409,0.213008
