Wavenumber,Intensity
650.4205,0.384235
651.3523,0.376454
652.2841,0.368496
653.2160,0.360218
654.1478,0.357837
655.0796,0.356982
656.0115,0.358341
656.9433,0.368519
657.8751,0.365411
658.8070,0.358425
659.7388,0.364063
660.6706,0.357969
661.6025,0.349405
662.5343,0.355584
663.4661,0.349702
664.3980,0.341941
665.3298,0.346845
666.2616,0.344374
667.1935,0.339270
668.1253,0.357269
669.0571,0.377830
669.9890,0.372983
670.9208,0.366231
671.8526,0.364072
672.7845,0.358894
673.7163,0.349923
674.6481,0.346418
675.5800,0.343932
676.5118,0.338808
677.4437,0.337773
678.3755,0.343123
679.3073,0.347024
680.2392,0.337051
681.1710,0.330642
682.1028,0.334682
683.0347,0.339324
683.9665,0.337521
684.8983,0.333348
685.8302,0.327408
686.7620,0.320953
687.6938,0.325787
688.6257,0.331729
689.5575,0.329321
690.4893,0.325901
691.4212,0.319465
692.3530,0.315911
693.2848,0.320344
694.2167,0.323658
695.1485,0.318508
696.0803,0.314817
697.0122,0.315301
697.9440,0.314378
698.8758,0.310605
699.8077,0.308925
700.7395,0.308762
701.6713,0.306647
702.6032,0.306488
703.5350,0.309816
704.4669,0.309807
705.3987,0.305646
706.3305,0.302170
707.2624,0.305452
708.1942,0.308623
709.1260,0.305215
710.0579,0.300102
710.9897,0.298283
711.9215,0.298022
712.8534,0.297840
713.7852,0.295718
714.7170,0.292433
715.6489,0.291193
716.5807,0.293219
717.5125,0.293783
718.4444,0.290324
719.3762,0.284399
720.3080,0.283894
721.2399,0.284289
722.1717,0.281680
723.1035,0.281628
724.0354,0.281508
724.9672,0.278969
725.8990,0.278400
726.8309,0.278184
727.7627,0.277827
728.6945,0.273231
729.6264,0.269045
730.5582,0.272312
731.4901,0.274117
732.4219,0.269397
733.3537,0.269020
734.2856,0.271354
735.2174,0.269430
736.1492,0.266652
737.0811,0.266318
738.0129,0.263186
738.9447,0.258710
739.8766,0.258930
740.8084,0.258573
741.7402,0.254755
742.6721,0.252399
743.6039,0.251320
744.5357,0.251450
745.4676,0.251593
746.3994,0.251723
747.3312,0.250450
748.2631,0.247962
749.1949,0.245381
750.1267,0.242427
751.0586,0.241222
751.9904,0.241345
752.9222,0.239851
753.8541,0.239282
754.7859,0.239461
755.7177,0.237083
756.6496,0.234569
757.5814,0.234197
758.5132,0.233302
759.4451,0.232862
760.3769,0.232735
761.3088,0.231123
762.2406,0.229770
763.1724,0.229463
764.1043,0.225990
765.0361,0.224008
765.9679,0.224292
766.8998,0.222743
767.8316,0.220828
768.7634,0.218797
769.6953,0.217861
770.6271,0.219581
771.5589,0.218637
772.4908,0.216712
773.4226,0.215200
774.3544,0.211964
775.2863,0.209491
776.2181,0.210309
777.1499,0.210731
778.0818,0.210087
779.0136,0.208317
779.9454,0.205588
780.8773,0.203462
781.8091,0.202588
782.7409,0.201680
783.6728,0.200856
784.6046,0.199904
785.5364,0.199269
786.4683,0.198491
787.4001,0.196777
788.3320,0.195324
789.2638,0.194927
790.1956,0.194377
791.1275,0.193660
792.0593,0.191436
792.9911,0.188675
793.9230,0.187022
794.8548,0.187252
795.7866,0.186729
796.7185,0.185272
797.6503,0.183486
798.5821,0.181541
799.5140,0.180345
800.4458,0.180518
801.3776,0.181326
802.3095,0.181544
803.2413,0.180387
804.1731,0.178050
805.1050,0.175860
806.0368,0.174401
806.9686,0.173087
807.9005,0.171463
808.8323,0.170029
809.7641,0.169088
810.6960,0.167704
811.6278,0.166215
812.5596,0.164603
813.4915,0.163542
814.4233,0.162649
815.3552,0.160376
816.2870,0.158930
817.2188,0.158596
818.1507,0.157959
819.0825,0.157431
820.0143,0.155233
820.9462,0.153839
821.8780,0.153351
822.8098,0.152559
823.7417,0.151950
824.6735,0.150404
825.6053,0.148483
826.5372,0.147533
827.4690,0.147438
828.4008,0.146341
829.3327,0.145271
830.2645,0.144300
831.1963,0.142037
832.1282,0.141115
833.0600,0.140873
833.9918,0.140262
834.9237,0.139055
835.8555,0.137718
836.7873,0.136784
837.7192,0.136347
838.6510,0.135530
839.5828,0.133993
840.5147,0.133100
841.4465,0.132501
842.3784,0.131734
843.3102,0.130566
844.2420,0.129088
845.1739,0.128301
846.1057,0.127757
847.0375,0.126428
847.9694,0.125326
848.9012,0.124903
849.8330,0.124506
850.7649,0.123417
851.6967,0.122432
852.6285,0.122554
853.5604,0.122340
854.4922,0.121406
855.4240,0.120888
856.3559,0.120847
857.2877,0.120079
858.2195,0.118986
859.1514,0.118450
860.0832,0.119335
861.0150,0.119288
861.9469,0.118796
862.8787,0.119085
863.8105,0.119172
864.7424,0.119722
865.6742,0.120633
866.6060,0.121258
867.5379,0.122558
868.4697,0.124313
869.4016,0.126685
870.3334,0.129733
871.2652,0.133352
872.1971,0.137542
873.1289,0.142584
874.0607,0.147498
874.9926,0.152594
875.9244,0.157645
876.8562,0.161207
877.7881,0.162822
878.7199,0.162566
879.6517,0.159594
880.5836,0.154512
881.5154,0.148013
882.4472,0.140388
883.3791,0.132717
884.3109,0.125368
885.2427,0.118654
886.1746,0.113085
887.1064,0.108347
888.0382,0.103924
888.9701,0.099901
889.9019,0.097026
890.8337,0.094667
891.7656,0.092106
892.6974,0.089975
893.6292,0.088233
894.5611,0.086850
895.4929,0.085672
896.4247,0.084650
897.3566,0.083250
898.2884,0.081868
899.2203,0.081345
900.1521,0.080809
901.0839,0.079805
902.0158,0.078750
902.9476,0.078091
903.8794,0.077239
904.8113,0.076867
905.7431,0.076883
906.6749,0.076179
907.6068,0.074993
908.5386,0.074376
909.4704,0.073890
910.4023,0.072914
911.3341,0.071774
912.2659,0.071180
913.1978,0.071040
914.1296,0.070826
915.0614,0.070687
915.9933,0.070283
916.9251,0.069625
917.8569,0.069323
918.7888,0.069143
919.7206,0.068792
920.6524,0.068293
921.5843,0.067500
922.5161,0.066762
923.4479,0.066131
924.3798,0.065913
925.3116,0.065679
926.2435,0.065088
927.1753,0.064832
928.1071,0.064764
929.0390,0.064594
929.9708,0.064058
930.9026,0.063512
931.8345,0.063355
932.7663,0.063381
933.6981,0.062744
934.6300,0.062094
935.5618,0.062089
936.4936,0.061971
937.4255,0.061416
938.3573,0.061025
939.2891,0.060714
940.2210,0.060258
941.1528,0.059916
942.0846,0.059634
943.0165,0.059273
943.9483,0.059126
944.8801,0.059216
945.8120,0.059171
946.7438,0.058883
947.6756,0.058626
948.6075,0.058191
949.5393,0.057801
950.4711,0.057863
951.4030,0.058012
952.3348,0.057651
953.2667,0.057176
954.1985,0.056768
955.1303,0.056553
956.0622,0.056190
956.9940,0.056027
957.9258,0.055929
958.8577,0.055839
959.7895,0.055843
960.7213,0.055843
961.6532,0.055650
962.5850,0.055313
963.5168,0.055041
964.4487,0.054788
965.3805,0.054441
966.3123,0.054076
967.2442,0.054060
968.1760,0.054521
969.1078,0.054614
970.0397,0.054312
970.9715,0.054215
971.9033,0.054390
972.8352,0.054414
973.7670,0.054311
974.6988,0.053948
975.6307,0.053775
976.5625,0.053803
977.4943,0.053844
978.4262,0.053915
979.3580,0.053565
980.2899,0.053267
981.2217,0.053180
982.1535,0.053226
983.0854,0.053292
984.0172,0.053349
984.9490,0.053330
985.8809,0.053482
986.8127,0.053726
987.7445,0.053712
988.6764,0.053737
989.6082,0.053836
990.5400,0.053637
991.4719,0.053580
992.4037,0.053960
993.3355,0.054008
994.2674,0.054105
995.1992,0.054326
996.1310,0.054347
997.0629,0.054351
997.9947,0.054759
998.9265,0.055203
999.8584,0.055027
1000.7902,0.054900
1001.7220,0.055259
1002.6539,0.055593
1003.5857,0.055843
1004.5175,0.056126
1005.4494,0.056571
1006.3812,0.056941
1007.3131,0.057458
1008.2449,0.057961
1009.1767,0.058317
1010.1086,0.058811
1011.0404,0.059398
1011.9722,0.059889
1012.9041,0.060583
1013.8359,0.061418
1014.7677,0.062018
1015.6996,0.062872
1016.6314,0.064209
1017.5632,0.065521
1018.4951,0.066830
1019.4269,0.068208
1020.3587,0.069614
1021.2906,0.071348
1022.2224,0.073274
1023.1542,0.075551
1024.0861,0.077767
1025.0179,0.080116
1025.9497,0.083151
1026.8816,0.086576
1027.8134,0.090066
1028.7452,0.094021
1029.6771,0.098841
1030.6089,0.104294
1031.5407,0.110337
1032.4726,0.117274
1033.4044,0.125439
1034.3362,0.134755
1035.2681,0.145247
1036.1999,0.157166
1037.1318,0.170548
1038.0636,0.185007
1038.9954,0.199963
1039.9273,0.215154
1040.8591,0.229773
1041.7909,0.242127
1042.7228,0.251583
1043.6546,0.257326
1044.5864,0.258207
1045.5183,0.254313
1046.4501,0.246295
1047.3819,0.234707
1048.3138,0.220379
1049.2456,0.204614
1050.1774,0.188379
1051.1093,0.172242
1052.0411,0.156887
1052.9729,0.142465
1053.9048,0.129493
1054.8366,0.118306
1055.7684,0.108479
1056.7003,0.099827
1057.6321,0.092693
1058.5639,0.086967
1059.4958,0.082154
1060.4276,0.078622
1061.3594,0.076043
1062.2913,0.073839
1063.2231,0.072265
1064.1550,0.071382
1065.0868,0.070996
1066.0186,0.070761
1066.9505,0.070688
1067.8823,0.071264
1068.8141,0.072096
1069.7460,0.072921
1070.6778,0.074298
1071.6096,0.076199
1072.5415,0.078074
1073.4733,0.080171
1074.4051,0.082663
1075.3370,0.085112
1076.2688,0.087377
1077.2006,0.090317
1078.1325,0.093787
1079.0643,0.096802
1079.9961,0.099729
1080.9280,0.102715
1081.8598,0.105291
1082.7916,0.107682
1083.7235,0.109628
1084.6553,0.110675
1085.5871,0.110835
1086.5190,0.110118
1087.4508,0.108626
1088.3826,0.106428
1089.3145,0.103533
1090.2463,0.099798
1091.1782,0.095750
1092.1100,0.091623
1093.0418,0.087197
1093.9737,0.082599
1094.9055,0.078286
1095.8373,0.074419
1096.7692,0.070438
1097.7010,0.066754
1098.6328,0.063927
1099.5647,0.061366
1100.4965,0.058894
1101.4283,0.056655
1102.3602,0.054843
1103.2920,0.053533
1104.2238,0.052279
1105.1557,0.051025
1106.0875,0.050107
1107.0193,0.049224
1107.9512,0.048533
1108.8830,0.047919
1109.8148,0.047266
1110.7467,0.046658
1111.6785,0.046351
1112.6103,0.046278
1113.5422,0.045981
1114.4740,0.045610
1115.4058,0.045328
1116.3377,0.045099
1117.2695,0.044992
1118.2014,0.045017
1119.1332,0.044929
1120.0650,0.044805
1120.9969,0.044799
1121.9287,0.044699
1122.8605,0.044510
1123.7924,0.044479
1124.7242,0.044773
1125.6560,0.044765
1126.5879,0.044517
1127.5197,0.044415
1128.4515,0.044322
1129.3834,0.044103
1130.3152,0.043971
1131.2470,0.043975
1132.1789,0.044077
1133.1107,0.043666
1134.0425,0.043306
1134.9744,0.043284
1135.9062,0.043138
1136.8380,0.042850
1137.7699,0.042733
1138.7017,0.042709
1139.6335,0.042673
1140.5654,0.042575
1141.4972,0.042364
1142.4290,0.042338
1143.3609,0.042246
1144.2927,0.042076
1145.2246,0.042211
1146.1564,0.042173
1147.0882,0.041901
1148.0201,0.041863
1148.9519,0.041940
1149.8837,0.042057
1150.8156,0.042091
1151.7474,0.042012
1152.6792,0.042080
1153.6111,0.042096
1154.5429,0.041868
1155.4747,0.041879
1156.4066,0.041918
1157.3384,0.041769
1158.2702,0.041677
1159.2021,0.041487
1160.1339,0.041369
1161.0657,0.041305
1161.9976,0.041011
1162.9294,0.040670
1163.8612,0.040373
1164.7931,0.040099
1165.7249,0.040035
1166.6567,0.039951
1167.5886,0.039820
1168.5204,0.039722
1169.4522,0.039468
1170.3841,0.039201
1171.3159,0.039272
1172.2477,0.039215
1173.1796,0.039190
1174.1114,0.039102
1175.0433,0.038963
1175.9751,0.038899
1176.9069,0.038876
1177.8388,0.038923
1178.7706,0.038874
1179.7024,0.038822
1180.6343,0.038847
1181.5661,0.038902
1182.4979,0.039077
1183.4298,0.039110
1184.3616,0.038923
1185.2934,0.039047
1186.2253,0.039223
1187.1571,0.039252
1188.0889,0.039156
1189.0208,0.039026
1189.9526,0.038892
1190.8844,0.038832
1191.8163,0.038938
1192.7481,0.038978
1193.6799,0.038978
1194.6118,0.039145
1195.5436,0.039129
1196.4754,0.039076
1197.4073,0.039168
1198.3391,0.039204
1199.2709,0.039166
1200.2028,0.039161
1201.1346,0.039021
1202.0665,0.039163
1202.9983,0.039320
1203.9301,0.039330
1204.8620,0.039351
1205.7938,0.039319
1206.7256,0.039211
1207.6575,0.038966
1208.5893,0.038959
1209.5211,0.039210
1210.4530,0.039306
1211.3848,0.039257
1212.3166,0.039236
1213.2485,0.039523
1214.1803,0.039868
1215.1121,0.039673
1216.0440,0.039559
1216.9758,0.039806
1217.9076,0.039834
1218.8395,0.039826
1219.7713,0.039943
