Wavenumber,Intensity
650.4205,0.380381
651.3523,0.376549
652.2841,0.379537
653.2160,0.382004
654.1478,0.374263
655.0796,0.383616
656.0115,0.385313
656.9433,0.383140
657.8751,0.390869
658.8070,0.394552
659.7388,0.378631
660.6706,0.367978
661.6025,0.375258
662.5343,0.383330
663.4661,0.387593
664.3980,0.382414
665.3298,0.370585
666.2616,0.369385
667.1935,0.363419
668.1253,0.362013
669.0571,0.372758
669.9890,0.373173
670.9208,0.371376
671.8526,0.371576
672.7845,0.364011
673.7163,0.360357
674.6481,0.360960
675.5800,0.362966
676.5118,0.357110
677.4437,0.357492
678.3755,0.352700
679.3073,0.355336
680.2392,0.354605
681.1710,0.349949
682.1028,0.346127
683.0347,0.346150
683.9665,0.351184
684.8983,0.357100
685.8302,0.351547
686.7620,0.345201
687.6938,0.345442
688.6257,0.347134
689.5575,0.342953
690.4893,0.340051
691.4212,0.338608
692.3530,0.337754
693.2848,0.335852
694.2167,0.336343
695.1485,0.334177
696.0803,0.330055
697.0122,0.329956
697.9440,0.328786
698.8758,0.325517
699.8077,0.326230
700.7395,0.328184
701.6713,0.327309
702.6032,0.322715
703.5350,0.323160
704.4669,0.323057
705.3987,0.320496
706.3305,0.317630
707.2624,0.318665
708.1942,0.321821
709.1260,0.320012
710.0579,0.314882
710.9897,0.314478
711.9215,0.310722
712.8534,0.306348
713.7852,0.306221
714.7170,0.306755
715.6489,0.305446
716.5807,0.304959
717.5125,0.304510
718.4444,0.300236
719.3762,0.296892
720.3080,0.299156
721.2399,0.301301
722.1717,0.299328
723.1035,0.295278
724.0354,0.293545
724.9672,0.293896
725.8990,0.294310
726.8309,0.292101
727.7627,0.289638
728.6945,0.287217
729.6264,0.285113
730.5582,0.282230
731.4901,0.280705
732.4219,0.282225
733.3537,0.282199
734.2856,0.279141
735.2174,0.279689
736.1492,0.279574
737.0811,0.279227
738.0129,0.276743
738.9447,0.273339
739.8766,0.271146
740.8084,0.270004
741.7402,0.268395
742.6721,0.267257
743.6039,0.265800
744.5357,0.265074
745.4676,0.264696
746.3994,0.263147
747.3312,0.260331
748.2631,0.259710
749.1949,0.258644
