Wavenumber,Intensity
650.4205,0.363399
651.3523,0.377288
652.2841,0.392151
653.2160,0.395243
654.1478,0.390931
655.0796,0.387659
656.0115,0.379385
656.9433,0.382439
657.8751,0.381490
658.8070,0.373698
659.7388,0.369392
660.6706,0.371071
661.6025,0.373616
662.5343,0.373949
663.4661,0.371144
664.3980,0.371310
665.3298,0.361047
666.2616,0.352299
667.1935,0.348051
668.1253,0.354054
669.0571,0.369297
669.9890,0.369624
670.9208,0.368137
671.8526,0.368002
672.7845,0.364454
673.7163,0.364038
674.6481,0.361101
675.5800,0.354916
676.5118,0.351262
677.4437,0.355558
678.3755,0.359262
679.3073,0.357475
680.2392,0.356261
681.1710,0.357865
682.1028,0.353126
683.0347,0.350012
683.9665,0.347984
684.8983,0.345246
685.8302,0.346385
686.7620,0.349075
687.6938,0.345028
688.6257,0.338141
689.5575,0.335968
690.4893,0.336535
691.4212,0.335947
692.3530,0.338379
693.2848,0.335976
694.2167,0.332119
695.1485,0.329648
696.0803,0.329405
697.0122,0.330596
697.9440,0.330225
698.8758,0.323831
699.8077,0.325694
700.7395,0.325861
701.6713,0.321838
702.6032,0.318090
703.5350,0.314673
704.4669,0.316925
705.3987,0.322761
706.3305,0.324144
707.2624,0.321776
708.1942,0.316338
709.1260,0.316233
710.0579,0.313354
710.9897,0.309052
711.9215,0.308177
712.8534,0.309565
713.7852,0.306925
714.7170,0.302743
715.6489,0.301363
716.5807,0.300254
717.5125,0.298350
718.4444,0.296790
719.3762,0.293876
720.3080,0.294671
721.2399,0.298486
722.1717,0.299288
723.1035,0.293898
724.0354,0.292482
724.9672,0.292894
725.8990,0.293231
726.8309,0.289534
727.7627,0.287143
728.6945,0.288043
729.6264,0.288589
730.5582,0.283602
731.4901,0.280188
732.4219,0.280352
733.3537,0.281427
734.2856,0.281052
735.2174,0.278169
736.1492,0.274742
737.0811,0.274614
738.0129,0.272746
738.9447,0.272483
739.8766,0.272291
740.8084,0.272335
741.7402,0.270582
742.6721,0.269819
743.6039,0.267105
744.5357,0.262729
745.4676,0.260729
746.3994,0.262788
747.3312,0.262031
748.2631,0.259810
749.1949,0.257103
750.1267,0.254488
751.0586,0.252133
751.9904,0.252178
752.9222,0.253262
753.8541,0.252378
754.7859,0.250936
755.7177,0.249896
756.6496,0.247960
757.5814,0.247223
758.5132,0.246018
759.4451,0.244616
760.3769,0.241731
761.3088,0.240418
762.2406,0.239577
763.1724,0.238114
764.1043,0.236983
765.0361,0.237381
765.9679,0.235878
766.8998,0.235406
767.8316,0.233654
768.7634,0.231738
769.6953,0.229415
770.6271,0.229801
771.5589,0.227936
772.4908,0.224660
773.4226,0.222798
774.3544,0.222301
775.2863,0.221931
776.2181,0.220172
777.1499,0.218040
778.0818,0.218088
779.0136,0.218206
779.9454,0.216676
780.8773,0.214305
781.8091,0.213053
782.7409,0.212782
783.6728,0.211359
784.6046,0.210083
785.5364,0.208535
786.4683,0.207321
787.4001,0.205975
788.3320,0.204373
789.2638,0.204130
790.1956,0.202811
791.1275,0.200274
792.0593,0.198686
792.9911,0.199463
793.9230,0.199274
794.8548,0.196613
795.7866,0.195464
796.7185,0.196029
797.6503,0.195304
798.5821,0.193154
799.5140,0.191301
800.4458,0.190972
801.3776,0.190085
802.3095,0.188480
803.2413,0.186696
804.1731,0.185010
805.1050,0.183459
806.0368,0.182674
806.9686,0.181771
807.9005,0.180318
808.8323,0.178462
809.7641,0.177021
810.6960,0.175811
811.6278,0.175320
812.5596,0.174188
813.4915,0.172767
814.4233,0.170663
815.3552,0.168393
816.2870,0.166874
817.2188,0.166725
818.1507,0.167003
819.0825,0.166026
820.0143,0.162707
820.9462,0.160889
821.8780,0.161462
822.8098,0.160390
823.7417,0.158176
824.6735,0.157704
825.6053,0.157107
826.5372,0.155354
827.4690,0.154282
828.4008,0.154074
829.3327,0.153260
830.2645,0.152022
831.1963,0.150200
832.1282,0.148740
833.0600,0.148369
833.9918,0.148096
834.9237,0.146063
835.8555,0.144449
836.7873,0.143969
837.7192,0.143081
838.6510,0.142360
839.5828,0.141285
840.5147,0.139405
841.4465,0.138657
842.3784,0.138411
843.3102,0.137114
844.2420,0.135540
845.1739,0.134531
846.1057,0.134433
847.0375,0.134359
847.9694,0.132819
848.9012,0.131727
849.8330,0.130744
850.7649,0.130081
851.6967,0.129179
852.6285,0.128369
853.5604,0.127793
854.4922,0.126686
855.4240,0.125845
856.3559,0.126061
857.2877,0.125757
858.2195,0.125411
859.1514,0.125189
860.0832,0.124118
861.0150,0.122784
861.9469,0.122688
862.8787,0.123227
863.8105,0.123535
864.7424,0.123895
865.6742,0.124613
866.6060,0.125552
867.5379,0.126373
868.4697,0.127474
869.4016,0.129644
870.3334,0.131873
871.2652,0.134738
872.1971,0.139086
873.1289,0.143519
874.0607,0.148084
874.9926,0.152492
875.9244,0.156150
876.8562,0.159070
877.7881,0.160261
878.7199,0.159064
879.6517,0.155752
880.5836,0.150470
881.5154,0.144065
882.4472,0.137722
883.3791,0.131178
884.3109,0.124869
885.2427,0.119063
886.1746,0.113965
887.1064,0.108868
888.0382,0.104612
888.9701,0.101898
889.9019,0.099419
890.8337,0.096786
891.7656,0.094788
892.6974,0.092873
893.6292,0.090992
894.5611,0.089300
895.4929,0.088190
896.4247,0.087473
897.3566,0.086390
898.2884,0.085498
899.2203,0.084767
900.1521,0.084055
901.0839,0.083298
902.0158,0.082244
902.9476,0.081283
903.8794,0.080437
904.8113,0.079582
905.7431,0.079084
906.6749,0.078861
907.6068,0.078460
908.5386,0.077697
909.4704,0.077324
910.4023,0.076714
911.3341,0.076072
912.2659,0.075125
913.1978,0.074404
914.1296,0.074185
915.0614,0.074031
915.9933,0.073389
916.9251,0.072400
917.8569,0.071908
918.7888,0.071592
919.7206,0.071303
920.6524,0.070981
921.5843,0.070247
922.5161,0.069487
923.4479,0.068752
924.3798,0.068282
925.3116,0.068023
926.2435,0.067598
927.1753,0.066820
928.1071,0.066471
929.0390,0.066422
929.9708,0.066071
930.9026,0.065351
931.8345,0.065118
932.7663,0.064939
933.6981,0.064801
934.6300,0.064507
935.5618,0.064037
936.4936,0.063862
937.4255,0.063501
938.3573,0.063214
939.2891,0.062905
940.2210,0.062284
941.1528,0.061925
942.0846,0.061491
943.0165,0.061346
943.9483,0.061523
944.8801,0.061090
945.8120,0.060481
946.7438,0.060271
947.6756,0.060150
948.6075,0.059806
949.5393,0.059433
950.4711,0.059173
951.4030,0.059184
952.3348,0.059012
953.2667,0.058859
954.1985,0.058533
955.1303,0.058078
956.0622,0.057718
956.9940,0.057580
957.9258,0.057178
958.8577,0.056752
959.7895,0.057003
960.7213,0.056949
961.6532,0.056659
962.5850,0.056686
963.5168,0.056546
964.4487,0.056217
965.3805,0.056270
966.3123,0.056139
967.2442,0.055541
968.1760,0.055588
969.1078,0.055761
970.0397,0.055495
970.9715,0.055077
971.9033,0.055240
972.8352,0.055198
973.7670,0.054698
974.6988,0.054554
975.6307,0.054458
976.5625,0.054268
977.4943,0.054287
978.4262,0.054312
979.3580,0.054349
980.2899,0.054444
981.2217,0.054078
982.1535,0.053477
983.0854,0.053354
984.0172,0.053500
984.9490,0.053537
985.8809,0.053508
986.8127,0.053427
987.7445,0.053301
988.6764,0.053148
989.6082,0.053354
990.5400,0.053648
991.4719,0.053823
992.4037,0.053832
993.3355,0.053735
994.2674,0.053655
995.1992,0.053789
996.1310,0.053990
997.0629,0.053923
997.9947,0.053895
998.9265,0.053998
999.8584,0.054321
1000.7902,0.054593
1001.7220,0.054736
1002.6539,0.054778
1003.5857,0.054898
1004.5175,0.055385
1005.4494,0.055682
1006.3812,0.055880
1007.3131,0.056386
1008.2449,0.056905
1009.1767,0.057193
1010.1086,0.057323
1011.0404,0.057743
1011.9722,0.058455
1012.9041,0.059044
1013.8359,0.059477
1014.7677,0.060117
1015.6996,0.061124
1016.6314,0.061960
1017.5632,0.062782
1018.4951,0.063987
1019.4269,0.065144
1020.3587,0.066302
1021.2906,0.067987
1022.2224,0.069847
1023.1542,0.071662
1024.0861,0.073607
1025.0179,0.075969
1025.9497,0.078497
1026.8816,0.081077
1027.8134,0.084136
1028.7452,0.087638
1029.6771,0.091427
1030.6089,0.095904
1031.5407,0.101253
1032.4726,0.107536
1033.4044,0.114681
1034.3362,0.122927
1035.2681,0.132531
1036.1999,0.143274
1037.1318,0.155173
1038.0636,0.168354
1038.9954,0.182340
1039.9273,0.196392
1040.8591,0.209848
1041.7909,0.221548
1042.7228,0.230784
1043.6546,0.236116
1044.5864,0.236669
1045.5183,0.232795
1046.4501,0.224953
1047.3819,0.213979
1048.3138,0.200756
1049.2456,0.186034
1050.1774,0.170781
1051.1093,0.155772
1052.0411,0.141646
1052.9729,0.128753
1053.9048,0.117208
1054.8366,0.106898
1055.7684,0.098039
1056.7003,0.090663
1057.6321,0.084572
1058.5639,0.079545
1059.4958,0.075468
1060.4276,0.072483
1061.3594,0.070308
1062.2913,0.068617
1063.2231,0.067390
1064.1550,0.066548
1065.0868,0.065985
1066.0186,0.065618
1066.9505,0.065844
1067.8823,0.066428
1068.8141,0.067010
1069.7460,0.067773
1070.6778,0.069163
1071.6096,0.070861
1072.5415,0.072411
1073.4733,0.074150
1074.4051,0.076233
1075.3370,0.078695
1076.2688,0.081381
1077.2006,0.084023
1078.1325,0.086764
1079.0643,0.089555
1079.9961,0.092020
1080.9280,0.094644
1081.8598,0.097259
1082.7916,0.099536
1083.7235,0.101135
1084.6553,0.101886
1085.5871,0.102144
1086.5190,0.101896
1087.4508,0.100801
1088.3826,0.098770
1089.3145,0.095851
1090.2463,0.092527
1091.1782,0.088717
1092.1100,0.084672
1093.0418,0.080644
1093.9737,0.076824
1094.9055,0.073173
1095.8373,0.069484
1096.7692,0.066148
1097.7010,0.063218
1098.6328,0.060587
1099.5647,0.058429
1100.4965,0.056657
1101.4283,0.054865
1102.3602,0.053120
1103.2920,0.051639
1104.2238,0.050463
1105.1557,0.049504
1106.0875,0.048647
1107.0193,0.047921
1107.9512,0.047440
1108.8830,0.046915
1109.8148,0.046293
1110.7467,0.045930
1111.6785,0.045729
1112.6103,0.045535
1113.5422,0.045353
1114.4740,0.044938
1115.4058,0.044463
1116.3377,0.044448
1117.2695,0.044693
1118.2014,0.044746
1119.1332,0.044506
1120.0650,0.044066
1120.9969,0.043931
1121.9287,0.044235
1122.8605,0.044170
1123.7924,0.043912
1124.7242,0.044093
1125.6560,0.044166
1126.5879,0.044132
1127.5197,0.044404
1128.4515,0.044374
1129.3834,0.043889
1130.3152,0.043718
1131.2470,0.043837
1132.1789,0.043953
1133.1107,0.043861
1134.0425,0.043462
1134.9744,0.043198
1135.9062,0.043139
1136.8380,0.043101
1137.7699,0.042988
1138.7017,0.042881
1139.6335,0.042860
1140.5654,0.042604
1141.4972,0.042413
1142.4290,0.042480
1143.3609,0.042543
1144.2927,0.042464
1145.2246,0.042372
1146.1564,0.042400
1147.0882,0.042507
1148.0201,0.042473
1148.9519,0.042322
1149.8837,0.042325
1150.8156,0.042261
1151.7474,0.042264
1152.6792,0.042303
1153.6111,0.042329
1154.5429,0.042421
1155.4747,0.042474
1156.4066,0.042454
1157.3384,0.042319
1158.2702,0.042164
1159.2021,0.042159
1160.1339,0.041942
1161.0657,0.041717
1161.9976,0.041538
1162.9294,0.041304
1163.8612,0.041089
1164.7931,0.040776
1165.7249,0.040649
1166.6567,0.040824
1167.5886,0.040983
1168.5204,0.040796
1169.4522,0.040512
1170.3841,0.040372
1171.3159,0.040236
1172.2477,0.040208
1173.1796,0.040233
1174.1114,0.040395
1175.0433,0.040517
1175.9751,0.040304
1176.9069,0.040187
1177.8388,0.040086
1178.7706,0.039967
1179.7024,0.040094
1180.6343,0.040215
1181.5661,0.040320
1182.4979,0.040269
1183.4298,0.040188
1184.3616,0.040334
1185.2934,0.040383
1186.2253,0.040216
1187.1571,0.040080
1188.0889,0.039935
1189.0208,0.040046
1189.9526,0.040329
1190.8844,0.040168
1191.8163,0.039949
1192.7481,0.040059
1193.6799,0.040130
1194.6118,0.040265
1195.5436,0.040383
1196.4754,0.040352
1197.4073,0.040340
1198.3391,0.040270
1199.2709,0.040192
1200.2028,0.040261
1201.1346,0.040447
1202.0665,0.040440
1202.9983,0.040464
1203.9301,0.040454
1204.8620,0.040237
1205.7938,0.040163
1206.7256,0.040385
1207.6575,0.040572
1208.5893,0.040471
1209.5211,0.040343
1210.4530,0.040278
1211.3848,0.040403
1212.3166,0.040760
1213.2485,0.040958
1214.1803,0.040723
1215.1121,0.040589
1216.0440,0.040857
1216.9758,0.040975
1217.9076,0.040915
1218.8395,0.040916
1219.7713,0.040890
1220.7031,0.041010
1221.6350,0.041079
1222.5668,0.041146
1223.4986,0.041364
1224.4305,0.041438
1225.3623,0.041276
1226.2941,0.041172
1227.2260,0.041379
1228.1578,0.041608
1229.0897,0.041602
1230.0215,0.041518
1230.9533,0.041618
1231.8852,0.041605
1232.8170,0.041466
1233.7488,0.041705
1234.6807,0.041925
