Wavenumber,Intensity
650.4205,0.369532
651.3523,0.380972
652.2841,0.386142
653.2160,0.385190
654.1478,0.386919
655.0796,0.391205
656.0115,0.379873
656.9433,0.374393
657.8751,0.383443
658.8070,0.389573
659.7388,0.378934
660.6706,0.373353
661.6025,0.373141
662.5343,0.374188
663.4661,0.373008
664.3980,0.366186
665.3298,0.360992
666.2616,0.364190
667.1935,0.368951
668.1253,0.370663
669.0571,0.369329
669.9890,0.369447
670.9208,0.367561
671.8526,0.361603
672.7845,0.360817
673.7163,0.362389
674.6481,0.353376
675.5800,0.352436
676.5118,0.355424
677.4437,0.359257
678.3755,0.357971
679.3073,0.354966
680.2392,0.346804
681.1710,0.344068
682.1028,0.346029
683.0347,0.350299
683.9665,0.350486
684.8983,0.347425
685.8302,0.345845
686.7620,0.343028
687.6938,0.338960
688.6257,0.344085
689.5575,0.343506
690.4893,0.337922
691.4212,0.336939
692.3530,0.339883
693.2848,0.337016
694.2167,0.334120
695.1485,0.332464
696.0803,0.328276
697.0122,0.327264
697.9440,0.328833
698.8758,0.327261
699.8077,0.323973
700.7395,0.315593
701.6713,0.316652
702.6032,0.319739
703.5350,0.321795
704.4669,0.323912
705.3987,0.321266
706.3305,0.317289
707.2624,0.314765
708.1942,0.311532
709.1260,0.312682
710.0579,0.312006
710.9897,0.308546
711.9215,0.307816
712.8534,0.306651
713.7852,0.304269
714.7170,0.304317
715.6489,0.301809
716.5807,0.298618
717.5125,0.298947
718.4444,0.300273
719.3762,0.296769
720.3080,0.295454
721.2399,0.293802
722.1717,0.293077
723.1035,0.292045
724.0354,0.292495
724.9672,0.293265
725.8990,0.293253
726.8309,0.291409
727.7627,0.285711
728.6945,0.284842
729.6264,0.286035
730.5582,0.282186
731.4901,0.277186
732.4219,0.276386
733.3537,0.278109
734.2856,0.275440
735.2174,0.275691
736.1492,0.273632
737.0811,0.270053
738.0129,0.271796
738.9447,0.272148
739.8766,0.268515
740.8084,0.267505
741.7402,0.268567
742.6721,0.270010
743.6039,0.268702
744.5357,0.265536
745.4676,0.262565
746.3994,0.260921
747.3312,0.256995
748.2631,0.256282
749.1949,0.257835
750.1267,0.255155
751.0586,0.251180
751.9904,0.250742
752.9222,0.251302
753.8541,0.250344
754.7859,0.249124
755.7177,0.247513
756.6496,0.246938
757.5814,0.245871
758.5132,0.242828
759.4451,0.242041
760.3769,0.240594
761.3088,0.239790
762.2406,0.238867
763.1724,0.237864
764.1043,0.236119
765.0361,0.234201
765.9679,0.232828
766.8998,0.233361
767.8316,0.232774
768.7634,0.231482
769.6953,0.230499
770.6271,0.227914
771.5589,0.225770
772.4908,0.224038
773.4226,0.221959
774.3544,0.220818
775.2863,0.219491
776.2181,0.217926
777.1499,0.217119
778.0818,0.218093
779.0136,0.218165
779.9454,0.216589
780.8773,0.214191
781.8091,0.212835
782.7409,0.211706
783.6728,0.210005
784.6046,0.208183
785.5364,0.206095
786.4683,0.204140
787.4001,0.204011
788.3320,0.203616
789.2638,0.201832
790.1956,0.199338
791.1275,0.198145
792.0593,0.197169
792.9911,0.196675
793.9230,0.195629
794.8548,0.195528
795.7866,0.195641
796.7185,0.194446
797.6503,0.192403
798.5821,0.191071
799.5140,0.190507
800.4458,0.188571
801.3776,0.186803
802.3095,0.186898
803.2413,0.186252
804.1731,0.185915
805.1050,0.183091
806.0368,0.180710
806.9686,0.180610
807.9005,0.179132
808.8323,0.177300
809.7641,0.177075
810.6960,0.175810
811.6278,0.173103
812.5596,0.171356
813.4915,0.170974
814.4233,0.169546
815.3552,0.168596
816.2870,0.167403
817.2188,0.166332
818.1507,0.164564
819.0825,0.163335
820.0143,0.161835
