Wavenumber,Intensity
650.4205,0.403184
651.3523,0.411868
652.2841,0.404401
653.2160,0.384519
654.1478,0.382952
655.0796,0.389128
656.0115,0.390413
656.9433,0.404031
657.8751,0.396154
658.8070,0.386729
659.7388,0.384608
660.6706,0.393900
661.6025,0.398437
662.5343,0.394982
663.4661,0.381604
664.3980,0.371621
665.3298,0.365339
666.2616,0.366313
667.1935,0.374785
668.1253,0.387738
669.0571,0.376636
669.9890,0.377620
670.9208,0.376319
671.8526,0.380409
672.7845,0.380861
673.7163,0.375104
674.6481,0.365679
675.5800,0.362143
676.5118,0.358351
677.4437,0.358534
678.3755,0.360999
679.3073,0.364082
680.2392,0.366953
681.1710,0.369992
682.1028,0.365466
683.0347,0.354584
683.9665,0.349590
684.8983,0.347592
685.8302,0.349851
686.7620,0.354137
687.6938,0.354885
688.6257,0.356401
689.5575,0.354944
690.4893,0.355238
691.4212,0.356093
692.3530,0.352254
693.2848,0.343284
694.2167,0.347901
695.1485,0.349092
696.0803,0.341383
697.0122,0.336954
697.9440,0.337060
698.8758,0.334778
699.8077,0.330454
700.7395,0.327012
701.6713,0.328834
702.6032,0.327347
703.5350,0.326038
704.4669,0.326237
705.3987,0.322734
706.3305,0.321193
707.2624,0.324629
708.1942,0.324371
709.1260,0.321679
710.0579,0.320968
710.9897,0.318572
711.9215,0.314703
712.8534,0.318154
713.7852,0.318247
714.7170,0.315674
715.6489,0.314683
716.5807,0.316965
717.5125,0.314354
718.4444,0.311632
719.3762,0.311005
720.3080,0.308942
721.2399,0.305921
722.1717,0.303994
723.1035,0.302966
724.0354,0.302271
724.9672,0.298966
725.8990,0.298000
726.8309,0.294510
727.7627,0.290575
728.6945,0.290304
729.6264,0.293466
730.5582,0.295073
731.4901,0.292851
732.4219,0.289359
733.3537,0.289268
734.2856,0.288795
735.2174,0.286411
736.1492,0.282808
737.0811,0.283154
738.0129,0.283310
738.9447,0.281451
739.8766,0.279072
740.8084,0.279073
741.7402,0.276553
742.6721,0.273458
743.6039,0.273145
744.5357,0.273137
745.4676,0.272252
746.3994,0.272026
747.3312,0.269965
748.2631,0.266415
749.1949,0.264118
750.1267,0.265969
751.0586,0.265777
751.9904,0.263135
752.9222,0.260864
753.8541,0.258610
754.7859,0.254976
755.7177,0.253665
756.6496,0.255183
757.5814,0.255655
758.5132,0.254932
759.4451,0.253717
760.3769,0.250301
761.3088,0.248704
762.2406,0.248191
763.1724,0.247279
764.1043,0.245440
765.0361,0.243869
765.9679,0.243419
766.8998,0.242952
767.8316,0.239965
768.7634,0.236925
769.6953,0.236049
770.6271,0.235244
771.5589,0.233762
772.4908,0.234431
773.4226,0.235027
774.3544,0.232650
775.2863,0.229115
776.2181,0.227409
777.1499,0.226591
778.0818,0.227388
779.0136,0.224971
779.9454,0.222288
780.8773,0.220691
781.8091,0.219527
782.7409,0.219536
783.6728,0.219659
784.6046,0.217679
785.5364,0.214978
786.4683,0.212102
787.4001,0.210206
788.3320,0.210486
789.2638,0.210888
790.1956,0.208725
791.1275,0.206641
792.0593,0.204594
792.9911,0.204241
793.9230,0.204885
794.8548,0.204743
795.7866,0.203516
796.7185,0.201269
797.6503,0.198106
798.5821,0.197132
799.5140,0.197703
800.4458,0.196737
801.3776,0.194980
802.3095,0.193760
803.2413,0.193025
804.1731,0.191350
805.1050,0.189529
806.0368,0.189119
806.9686,0.187921
807.9005,0.186915
808.8323,0.185297
809.7641,0.183428
810.6960,0.182383
811.6278,0.181375
812.5596,0.179020
813.4915,0.177349
814.4233,0.177357
815.3552,0.176101
816.2870,0.174203
817.2188,0.172833
818.1507,0.170707
819.0825,0.169943
820.0143,0.169603
820.9462,0.169055
821.8780,0.167325
822.8098,0.165134
823.7417,0.164119
