Wavenumber,Intensity
650.4205,0.390577
651.3523,0.403687
652.2841,0.409121
653.2160,0.389923
654.1478,0.380234
655.0796,0.385040
656.0115,0.396179
656.9433,0.397823
657.8751,0.384566
658.8070,0.371760
659.7388,0.369316
660.6706,0.375020
661.6025,0.374310
662.5343,0.369328
663.4661,0.365582
664.3980,0.364408
665.3298,0.362740
666.2616,0.367465
667.1935,0.375103
668.1253,0.386088
669.0571,0.399277
669.9890,0.391860
670.9208,0.379353
671.8526,0.372398
672.7845,0.371295
673.7163,0.364323
674.6481,0.354324
675.5800,0.351452
676.5118,0.355444
677.4437,0.364679
678.3755,0.363699
679.3073,0.354113
680.2392,0.347088
681.1710,0.349457
682.1028,0.352520
683.0347,0.347597
683.9665,0.347394
684.8983,0.352168
685.8302,0.352082
686.7620,0.350298
687.6938,0.347797
688.6257,0.344113
689.5575,0.344079
690.4893,0.345617
691.4212,0.340001
692.3530,0.337006
693.2848,0.335444
694.2167,0.335865
695.1485,0.337637
696.0803,0.338083
697.0122,0.335514
697.9440,0.330610
698.8758,0.327224
699.8077,0.326357
700.7395,0.327673
701.6713,0.327296
702.6032,0.324575
703.5350,0.324043
704.4669,0.324568
705.3987,0.323438
706.3305,0.321459
707.2624,0.322571
708.1942,0.319609
709.1260,0.314355
710.0579,0.313358
710.9897,0.311936
711.9215,0.308875
712.8534,0.309497
713.7852,0.309509
714.7170,0.306658
715.6489,0.304606
716.5807,0.305026
717.5125,0.303772
718.4444,0.301791
719.3762,0.301842
720.3080,0.301732
721.2399,0.298293
722.1717,0.296952
723.1035,0.296741
724.0354,0.296863
724.9672,0.293081
725.8990,0.289643
726.8309,0.290759
727.7627,0.291024
728.6945,0.287816
729.6264,0.286267
730.5582,0.288175
731.4901,0.289346
732.4219,0.285141
733.3537,0.279673
734.2856,0.277683
735.2174,0.278717
736.1492,0.276749
737.0811,0.275310
738.0129,0.276389
738.9447,0.276582
739.8766,0.273543
740.8084,0.272717
741.7402,0.271412
742.6721,0.266674
743.6039,0.263732
744.5357,0.265051
745.4676,0.264780
746.3994,0.261193
747.3312,0.260775
748.2631,0.261840
749.1949,0.259640
750.1267,0.256419
751.0586,0.254354
751.9904,0.254492
752.9222,0.254854
753.8541,0.253763
754.7859,0.252191
755.7177,0.250443
756.6496,0.247369
757.5814,0.246535
758.5132,0.245829
759.4451,0.244610
760.3769,0.242578
761.3088,0.240461
762.2406,0.240382
763.1724,0.240283
764.1043,0.238875
765.0361,0.237188
765.9679,0.236562
766.8998,0.235503
767.8316,0.233789
768.7634,0.232087
769.6953,0.231588
770.6271,0.230966
771.5589,0.228973
772.4908,0.227640
773.4226,0.227838
774.3544,0.226420
775.2863,0.223413
776.2181,0.222061
777.1499,0.220673
778.0818,0.219339
779.0136,0.217493
779.9454,0.216190
780.8773,0.215368
781.8091,0.213835
782.7409,0.212523
783.6728,0.212291
784.6046,0.211162
785.5364,0.209496
786.4683,0.208533
787.4001,0.208330
788.3320,0.207073
789.2638,0.205381
790.1956,0.204107
791.1275,0.202706
792.0593,0.200739
792.9911,0.199344
793.9230,0.197265
794.8548,0.196188
795.7866,0.196030
796.7185,0.195663
797.6503,0.195206
798.5821,0.193896
799.5140,0.191613
800.4458,0.189765
801.3776,0.188858
802.3095,0.188728
803.2413,0.188134
804.1731,0.186821
805.1050,0.185052
806.0368,0.183669
806.9686,0.182650
807.9005,0.181719
808.8323,0.179849
809.7641,0.177982
810.6960,0.175751
