Wavenumber,Intensity
650.4205,0.396987
651.3523,0.391217
652.2841,0.401278
653.2160,0.408840
654.1478,0.390003
655.0796,0.385942
656.0115,0.390598
656.9433,0.395321
657.8751,0.380644
658.8070,0.371869
659.7388,0.371092
660.6706,0.386601
661.6025,0.399279
662.5343,0.392584
663.4661,0.376152
664.3980,0.380255
665.3298,0.383098
666.2616,0.376419
667.1935,0.368185
668.1253,0.376937
669.0571,0.376458
669.9890,0.372324
670.9208,0.375023
671.8526,0.372700
672.7845,0.366759
673.7163,0.367259
674.6481,0.364517
675.5800,0.357987
676.5118,0.355657
677.4437,0.364282
678.3755,0.368243
679.3073,0.370551
680.2392,0.364643
681.1710,0.361524
682.1028,0.361712
683.0347,0.360753
683.9665,0.352010
684.8983,0.349354
685.8302,0.346440
686.7620,0.347182
687.6938,0.351105
688.6257,0.354904
689.5575,0.354649
690.4893,0.346641
691.4212,0.334528
692.3530,0.336782
693.2848,0.342498
694.2167,0.344785
695.1485,0.342224
696.0803,0.337708
697.0122,0.332212
697.9440,0.332301
698.8758,0.333845
699.8077,0.329730
700.7395,0.330303
701.6713,0.332803
702.6032,0.327021
703.5350,0.324694
704.4669,0.322508
705.3987,0.323367
706.3305,0.326154
707.2624,0.327305
708.1942,0.326517
709.1260,0.322140
710.0579,0.314902
710.9897,0.316309
711.9215,0.317602
712.8534,0.316723
713.7852,0.313993
714.7170,0.315682
715.6489,0.313377
716.5807,0.311519
717.5125,0.309160
718.4444,0.307294
719.3762,0.303052
720.3080,0.302549
721.2399,0.305347
722.1717,0.304501
723.1035,0.299525
724.0354,0.301755
724.9672,0.302171
725.8990,0.300785
726.8309,0.298968
727.7627,0.296457
728.6945,0.293615
729.6264,0.292242
730.5582,0.290166
731.4901,0.289137
732.4219,0.288405
733.3537,0.287137
734.2856,0.284320
735.2174,0.282717
736.1492,0.280206
737.0811,0.280330
738.0129,0.281256
738.9447,0.280434
739.8766,0.276535
740.8084,0.273849
741.7402,0.272874
742.6721,0.272499
743.6039,0.271507
744.5357,0.270964
745.4676,0.270810
746.3994,0.268194
747.3312,0.266126
748.2631,0.266308
749.1949,0.264472
750.1267,0.260719
751.0586,0.259315
751.9904,0.258445
752.9222,0.257282
753.8541,0.258788
754.7859,0.257665
755.7177,0.255559
756.6496,0.253926
757.5814,0.253326
758.5132,0.252406
759.4451,0.251652
760.3769,0.249404
761.3088,0.246956
762.2406,0.245029
763.1724,0.244799
764.1043,0.243748
765.0361,0.242537
765.9679,0.241244
766.8998,0.240022
767.8316,0.238035
768.7634,0.236173
769.6953,0.234270
770.6271,0.235240
771.5589,0.234248
772.4908,0.231852
773.4226,0.230799
774.3544,0.229533
775.2863,0.227610
776.2181,0.225523
777.1499,0.223007
778.0818,0.223593
779.0136,0.223025
779.9454,0.222684
780.8773,0.221303
781.8091,0.219196
782.7409,0.217525
783.6728,0.215938
784.6046,0.215378
785.5364,0.215901
786.4683,0.214081
787.4001,0.211245
788.3320,0.209811
789.2638,0.209818
790.1956,0.208517
791.1275,0.206582
792.0593,0.204701
792.9911,0.204303
793.9230,0.203522
794.8548,0.202478
795.7866,0.200476
796.7185,0.198998
797.6503,0.197538
798.5821,0.195543
799.5140,0.194806
800.4458,0.195167
801.3776,0.192896
802.3095,0.190586
803.2413,0.189509
804.1731,0.189855
805.1050,0.189431
806.0368,0.187379
806.9686,0.185179
807.9005,0.184395
808.8323,0.183706
809.7641,0.181965
810.6960,0.178955
811.6278,0.177653
812.5596,0.177549
813.4915,0.177174
814.4233,0.176046
815.3552,0.174584
816.2870,0.172314
817.2188,0.170718
818.1507,0.170327
819.0825,0.168792
820.0143,0.167625
820.9462,0.166386
821.8780,0.164721
822.8098,0.163970
823.7417,0.162554
824.6735,0.161527
825.6053,0.161102
826.5372,0.160375
827.4690,0.158851
828.4008,0.157562
829.3327,0.156722
830.2645,0.155335
831.1963,0.154553
832.1282,0.153717
833.0600,0.152089
833.9918,0.150989
834.9237,0.150551
835.8555,0.149472
836.7873,0.148006
837.7192,0.146426
838.6510,0.144853
839.5828,0.143948
840.5147,0.143266
841.4465,0.142759
842.3784,0.141972
843.3102,0.140738
844.2420,0.139951
845.1739,0.139035
846.1057,0.137786
847.0375,0.136030
847.9694,0.134702
848.9012,0.134295
849.8330,0.133871
850.7649,0.133288
851.6967,0.132565
852.6285,0.131090
853.5604,0.130007
854.4922,0.129529
855.4240,0.128270
856.3559,0.127560
857.2877,0.127346
858.2195,0.127292
859.1514,0.126244
860.0832,0.125601
861.0150,0.125285
861.9469,0.124663
862.8787,0.124866
863.8105,0.124997
864.7424,0.124433
865.6742,0.124591
866.6060,0.125402
867.5379,0.126120
868.4697,0.126377
869.4016,0.127017
870.3334,0.128600
871.2652,0.131153
872.1971,0.133273
873.1289,0.135160
874.0607,0.138387
874.9926,0.142139
875.9244,0.144662
876.8562,0.146677
877.7881,0.147477
878.7199,0.146425
879.6517,0.143833
880.5836,0.139874
881.5154,0.134961
882.4472,0.129634
883.3791,0.124062
884.3109,0.118764
885.2427,0.114201
886.1746,0.110097
887.1064,0.106885
888.0382,0.104772
888.9701,0.102493
889.9019,0.099896
