Wavenumber,Intensity
650.4205,0.381732
651.3523,0.402458
652.2841,0.408925
653.2160,0.407427
654.1478,0.392059
655.0796,0.394288
656.0115,0.388366
656.9433,0.385402
657.8751,0.387040
658.8070,0.386833
659.7388,0.390744
660.6706,0.394761
661.6025,0.379981
662.5343,0.379495
663.4661,0.381234
664.3980,0.380011
665.3298,0.373380
666.2616,0.372305
667.1935,0.374060
668.1253,0.387819
669.0571,0.384846
669.9890,0.374584
670.9208,0.373385
671.8526,0.372358
672.7845,0.372339
673.7163,0.376088
674.6481,0.373839
675.5800,0.369267
676.5118,0.366571
677.4437,0.364303
678.3755,0.360768
679.3073,0.363638
680.2392,0.367335
681.1710,0.362589
682.1028,0.358549
683.0347,0.358405
683.9665,0.356400
684.8983,0.357757
685.8302,0.353017
686.7620,0.346503
687.6938,0.346439
688.6257,0.350091
689.5575,0.348249
690.4893,0.346428
691.4212,0.344054
692.3530,0.346246
693.2848,0.345034
694.2167,0.343018
695.1485,0.339232
696.0803,0.339264
697.0122,0.339221
697.9440,0.338082
698.8758,0.337382
699.8077,0.336888
700.7395,0.335199
701.6713,0.334580
702.6032,0.331170
703.5350,0.329238
704.4669,0.328398
705.3987,0.328339
706.3305,0.326465
707.2624,0.327896
708.1942,0.326181
709.1260,0.321993
710.0579,0.319148
710.9897,0.316889
711.9215,0.313421
712.8534,0.315189
713.7852,0.317771
714.7170,0.317169
715.6489,0.316174
716.5807,0.314769
717.5125,0.312059
718.4444,0.310088
719.3762,0.308729
720.3080,0.312800
721.2399,0.310674
722.1717,0.307917
723.1035,0.305073
724.0354,0.301022
724.9672,0.300453
725.8990,0.298490
726.8309,0.294577
727.7627,0.293586
728.6945,0.292393
729.6264,0.291526
730.5582,0.289046
731.4901,0.286932
732.4219,0.286381
733.3537,0.287095
734.2856,0.284705
735.2174,0.283476
736.1492,0.282888
737.0811,0.282939
738.0129,0.282811
738.9447,0.281018
739.8766,0.278859
740.8084,0.278741
741.7402,0.277497
742.6721,0.275943
743.6039,0.274598
744.5357,0.274817
745.4676,0.273027
746.3994,0.270366
747.3312,0.266656
748.2631,0.264457
749.1949,0.265015
750.1267,0.266794
751.0586,0.263061
751.9904,0.261680
752.9222,0.260710
753.8541,0.258259
754.7859,0.257583
755.7177,0.258189
756.6496,0.255539
757.5814,0.252837
758.5132,0.251783
