Wavenumber,Intensity
650.4205,0.279164
651.3523,0.288779
652.2841,0.306357
653.2160,0.306584
654.1478,0.299431
655.0796,0.306707
656.0115,0.307858
656.9433,0.305899
657.8751,0.296753
658.8070,0.294065
659.7388,0.294349
660.6706,0.289794
661.6025,0.288212
662.5343,0.290494
663.4661,0.289411
664.3980,0.288005
665.3298,0.285206
666.2616,0.278340
667.1935,0.270784
668.1253,0.280032
669.0571,0.292363
669.9890,0.288421
670.9208,0.287546
671.8526,0.286915
672.7845,0.279179
673.7163,0.278170
674.6481,0.279627
675.5800,0.281137
676.5118,0.276490
677.4437,0.277080
678.3755,0.279324
679.3073,0.276891
680.2392,0.275687
681.1710,0.272764
682.1028,0.267437
683.0347,0.269969
683.9665,0.272225
684.8983,0.274570
685.8302,0.273007
686.7620,0.269733
687.6938,0.266457
688.6257,0.263454
689.5575,0.258805
690.4893,0.262128
691.4212,0.266708
692.3530,0.267325
693.2848,0.262859
694.2167,0.261784
695.1485,0.259708
696.0803,0.258624
697.0122,0.258576
697.9440,0.258046
698.8758,0.253396
699.8077,0.251262
700.7395,0.253164
701.6713,0.252231
702.6032,0.248547
703.5350,0.251416
704.4669,0.249955
705.3987,0.247440
706.3305,0.246137
707.2624,0.244690
708.1942,0.245251
709.1260,0.243704
710.0579,0.240638
710.9897,0.242909
711.9215,0.241364
712.8534,0.237915
713.7852,0.237064
714.7170,0.239429
715.6489,0.236259
716.5807,0.234369
717.5125,0.232748
718.4444,0.232376
719.3762,0.233384
720.3080,0.233912
721.2399,0.232636
722.1717,0.230308
723.1035,0.228278
724.0354,0.228309
724.9672,0.226854
725.8990,0.226766
726.8309,0.227025
727.7627,0.225074
728.6945,0.222428
729.6264,0.223188
730.5582,0.223068
731.4901,0.221945
732.4219,0.217764
733.3537,0.216489
734.2856,0.218383
735.2174,0.217770
736.1492,0.213182
737.0811,0.211502
738.0129,0.211674
738.9447,0.212308
739.8766,0.211634
740.8084,0.210824
741.7402,0.208917
742.6721,0.208577
743.6039,0.207938
744.5357,0.207766
745.4676,0.206792
746.3994,0.204421
747.3312,0.202244
748.2631,0.200851
749.1949,0.199197
750.1267,0.198932
751.0586,0.197764
751.9904,0.196700
752.9222,0.195533
753.8541,0.194067
754.7859,0.191260
755.7177,0.191383
756.6496,0.192842
757.5814,0.193492
758.5132,0.191649
759.4451,0.189166
760.3769,0.186724
761.3088,0.187292
762.2406,0.186530
763.1724,0.185322
764.1043,0.184771
765.0361,0.184088
765.9679,0.182096
766.8998,0.179632
767.8316,0.178596
768.7634,0.178574
769.6953,0.177588
770.6271,0.176089
771.5589,0.175449
772.4908,0.176435
773.4226,0.175843
774.3544,0.174267
775.2863,0.171665
776.2181,0.171179
777.1499,0.170981
778.0818,0.169948
779.0136,0.169273
779.9454,0.167433
780.8773,0.165482
781.8091,0.166426
782.7409,0.165963
783.6728,0.163420
784.6046,0.161613
785.5364,0.160802
786.4683,0.160490
787.4001,0.160219
788.3320,0.159040
789.2638,0.159033
790.1956,0.159471
791.1275,0.157325
792.0593,0.155336
792.9911,0.155278
793.9230,0.154170
794.8548,0.153476
795.7866,0.152385
796.7185,0.152521
797.6503,0.152421
798.5821,0.151262
799.5140,0.150856
800.4458,0.150493
801.3776,0.149542
802.3095,0.148435
803.2413,0.148627
804.1731,0.149368
805.1050,0.148821
806.0368,0.147291
806.9686,0.146723
807.9005,0.144527
808.8323,0.141558
809.7641,0.141073
810.6960,0.140016
811.6278,0.137412
812.5596,0.135497
813.4915,0.134642
814.4233,0.133531
815.3552,0.131716
816.2870,0.130342
817.2188,0.130003
818.1507,0.128337
819.0825,0.125705
820.0143,0.124315
820.9462,0.124598
821.8780,0.123552
822.8098,0.121749
823.7417,0.120381
824.6735,0.119650
825.6053,0.119235
826.5372,0.118668
827.4690,0.117724
828.4008,0.116482
829.3327,0.114826
830.2645,0.115098
831.1963,0.115590
832.1282,0.114636
833.0600,0.113148
833.9918,0.112420
834.9237,0.112167
835.8555,0.111637
836.7873,0.110444
837.7192,0.108958
838.6510,0.107798
839.5828,0.107847
840.5147,0.107339
841.4465,0.106341
842.3784,0.106324
843.3102,0.105855
844.2420,0.104762
845.1739,0.103877
846.1057,0.102891
847.0375,0.102183
847.9694,0.101375
848.9012,0.101307
849.8330,0.101472
850.7649,0.100626
851.6967,0.099730
852.6285,0.099505
853.5604,0.099466
854.4922,0.099715
855.4240,0.099464
856.3559,0.099066
857.2877,0.098982
858.2195,0.098401
859.1514,0.098244
860.0832,0.099599
861.0150,0.100360
861.9469,0.100133
862.8787,0.100909
863.8105,0.102769
864.7424,0.104314
865.6742,0.105798
866.6060,0.108298
867.5379,0.111731
868.4697,0.115856
869.4016,0.120891
870.3334,0.126770
871.2652,0.133960
872.1971,0.142745
873.1289,0.153115
874.0607,0.164585
874.9926,0.175956
875.9244,0.186885
876.8562,0.196600
877.7881,0.202602
878.7199,0.203939
879.6517,0.201481
880.5836,0.195288
881.5154,0.185045
882.4472,0.172813
883.3791,0.159858
884.3109,0.147420
885.2427,0.135533
886.1746,0.124942
887.1064,0.116045
888.0382,0.107956
888.9701,0.100508
889.9019,0.094181
890.8337,0.088667
891.7656,0.084747
892.6974,0.081256
893.6292,0.077913
894.5611,0.075443
895.4929,0.073657
896.4247,0.072325
