Wavenumber,Intensity
650.4205,0.409172
651.3523,0.421004
652.2841,0.430100
653.2160,0.430096
654.1478,0.407215
655.0796,0.414830
656.0115,0.420587
656.9433,0.409615
657.8751,0.407953
658.8070,0.410250
659.7388,0.412005
660.6706,0.406100
661.6025,0.394393
662.5343,0.390583
663.4661,0.395374
664.3980,0.402771
665.3298,0.402919
666.2616,0.389395
667.1935,0.378505
668.1253,0.400547
669.0571,0.410040
669.9890,0.400496
670.9208,0.396005
671.8526,0.392346
672.7845,0.390528
673.7163,0.389359
674.6481,0.385922
675.5800,0.385999
676.5118,0.388661
677.4437,0.384223
678.3755,0.373369
679.3073,0.368022
680.2392,0.371151
681.1710,0.375748
682.1028,0.377049
683.0347,0.373489
683.9665,0.368502
684.8983,0.367949
685.8302,0.365925
686.7620,0.364518
687.6938,0.365935
688.6257,0.366180
689.5575,0.363947
690.4893,0.366595
691.4212,0.368822
692.3530,0.363843
693.2848,0.360644
694.2167,0.359984
695.1485,0.353369
696.0803,0.351591
697.0122,0.352615
697.9440,0.353730
698.8758,0.351428
699.8077,0.351158
700.7395,0.348749
701.6713,0.347342
702.6032,0.348520
703.5350,0.346833
704.4669,0.342255
705.3987,0.344077
706.3305,0.343041
707.2624,0.340119
708.1942,0.339919
709.1260,0.338306
710.0579,0.334780
710.9897,0.333079
711.9215,0.330027
712.8534,0.329912
713.7852,0.328233
714.7170,0.326054
715.6489,0.322866
716.5807,0.324108
717.5125,0.325089
718.4444,0.324543
719.3762,0.320594
720.3080,0.318394
721.2399,0.318671
722.1717,0.316254
723.1035,0.313220
724.0354,0.312884
724.9672,0.312607
725.8990,0.312021
726.8309,0.310262
727.7627,0.309537
728.6945,0.308683
729.6264,0.305095
730.5582,0.300341
731.4901,0.296962
732.4219,0.295483
733.3537,0.297705
734.2856,0.299608
735.2174,0.299210
736.1492,0.299906
737.0811,0.299963
738.0129,0.294502
738.9447,0.293978
739.8766,0.293794
740.8084,0.292525
741.7402,0.289410
742.6721,0.288704
743.6039,0.285942
744.5357,0.284806
745.4676,0.282800
746.3994,0.281043
747.3312,0.281717
748.2631,0.280909
749.1949,0.276965
750.1267,0.278223
751.0586,0.276207
751.9904,0.272782
752.9222,0.271776
753.8541,0.271320
754.7859,0.269333
755.7177,0.267522
756.6496,0.265239
757.5814,0.265237
758.5132,0.263726
759.4451,0.264012
760.3769,0.261677
761.3088,0.259253
762.2406,0.258844
763.1724,0.257711
764.1043,0.254737
765.0361,0.252728
765.9679,0.252631
766.8998,0.252996
767.8316,0.251375
768.7634,0.250420
769.6953,0.248566
770.6271,0.247513
771.5589,0.246163
772.4908,0.245176
773.4226,0.245477
774.3544,0.244557
775.2863,0.240565
776.2181,0.238416
777.1499,0.237391
778.0818,0.237266
779.0136,0.234316
779.9454,0.233641
780.8773,0.233869
781.8091,0.231346
782.7409,0.229035
783.6728,0.227431
784.6046,0.227863
785.5364,0.227346
786.4683,0.224819
787.4001,0.223299
788.3320,0.221435
789.2638,0.220597
790.1956,0.219764
791.1275,0.218884
792.0593,0.216888
792.9911,0.214672
793.9230,0.214078
794.8548,0.213523
795.7866,0.211832
796.7185,0.210852
797.6503,0.209563
798.5821,0.208684
799.5140,0.208751
800.4458,0.207670
801.3776,0.205168
802.3095,0.204320
803.2413,0.203918
804.1731,0.202439
805.1050,0.200672
806.0368,0.199652
806.9686,0.198785
807.9005,0.197479
808.8323,0.196139
809.7641,0.195177
810.6960,0.193437
811.6278,0.191727
812.5596,0.190812
813.4915,0.189505
814.4233,0.188348
