Wavenumber,Intensity
650.4205,0.387284
651.3523,0.403279
652.2841,0.398005
653.2160,0.383031
654.1478,0.377326
655.0796,0.377930
656.0115,0.379521
656.9433,0.377363
657.8751,0.366253
658.8070,0.373253
659.7388,0.377359
660.6706,0.377917
661.6025,0.380217
662.5343,0.382229
663.4661,0.379742
664.3980,0.378813
665.3298,0.376391
666.2616,0.373229
667.1935,0.371982
668.1253,0.377394
669.0571,0.375944
669.9890,0.373813
670.9208,0.373990
671.8526,0.367477
672.7845,0.358554
673.7163,0.361931
674.6481,0.362787
675.5800,0.363317
676.5118,0.357599
677.4437,0.353453
678.3755,0.353854
679.3073,0.359160
680.2392,0.365503
681.1710,0.363890
682.1028,0.356764
683.0347,0.352525
683.9665,0.346360
684.8983,0.345039
685.8302,0.346268
686.7620,0.343138
687.6938,0.338887
688.6257,0.338273
689.5575,0.337398
690.4893,0.343209
691.4212,0.342505
692.3530,0.338700
693.2848,0.338236
694.2167,0.337229
695.1485,0.336781
696.0803,0.342136
697.0122,0.339296
697.9440,0.332187
698.8758,0.330166
699.8077,0.330714
700.7395,0.330102
701.6713,0.327351
702.6032,0.321141
703.5350,0.322879
704.4669,0.323841
705.3987,0.322918
706.3305,0.323723
707.2624,0.324725
708.1942,0.320358
709.1260,0.318329
710.0579,0.315112
710.9897,0.312890
711.9215,0.310357
712.8534,0.310043
713.7852,0.308389
714.7170,0.307834
715.6489,0.310208
716.5807,0.308409
717.5125,0.302258
718.4444,0.301182
719.3762,0.301100
720.3080,0.302756
721.2399,0.303382
722.1717,0.302042
723.1035,0.299991
724.0354,0.297978
724.9672,0.295724
725.8990,0.295767
726.8309,0.294549
727.7627,0.292383
728.6945,0.289626
729.6264,0.288210
730.5582,0.288562
731.4901,0.288278
732.4219,0.286997
733.3537,0.284306
734.2856,0.279816
735.2174,0.278767
736.1492,0.277493
737.0811,0.277918
738.0129,0.279450
738.9447,0.277857
739.8766,0.277258
740.8084,0.276613
741.7402,0.271799
742.6721,0.269354
743.6039,0.267949
744.5357,0.268655
745.4676,0.268366
746.3994,0.266820
747.3312,0.265437
748.2631,0.263148
749.1949,0.261247
750.1267,0.261326
751.0586,0.259336
751.9904,0.257007
752.9222,0.257227
753.8541,0.255573
