Wavenumber,Intensity
650.4205,0.392673
651.3523,0.404666
652.2841,0.408916
653.2160,0.409368
654.1478,0.410011
655.0796,0.403072
656.0115,0.391928
656.9433,0.388150
657.8751,0.390007
658.8070,0.390740
659.7388,0.393332
660.6706,0.397028
661.6025,0.398236
662.5343,0.397452
663.4661,0.387823
664.3980,0.383183
665.3298,0.375079
666.2616,0.377006
667.1935,0.376774
668.1253,0.394720
669.0571,0.405517
669.9890,0.388686
670.9208,0.372535
671.8526,0.370059
672.7845,0.376672
673.7163,0.385754
674.6481,0.379551
675.5800,0.375184
676.5118,0.374170
677.4437,0.369599
678.3755,0.366456
679.3073,0.367651
680.2392,0.371684
681.1710,0.374220
682.1028,0.371238
683.0347,0.365902
683.9665,0.358121
684.8983,0.356689
685.8302,0.356969
686.7620,0.358015
687.6938,0.357373
688.6257,0.356660
689.5575,0.355667
690.4893,0.358331
691.4212,0.355532
692.3530,0.353463
693.2848,0.349569
694.2167,0.348334
695.1485,0.351096
696.0803,0.351470
697.0122,0.347199
697.9440,0.346519
698.8758,0.341321
699.8077,0.339545
700.7395,0.341135
701.6713,0.338093
702.6032,0.336711
703.5350,0.333852
704.4669,0.329349
705.3987,0.329505
706.3305,0.329781
707.2624,0.327989
708.1942,0.326148
709.1260,0.326193
710.0579,0.324330
710.9897,0.320885
711.9215,0.319710
712.8534,0.323653
713.7852,0.325138
714.7170,0.320733
715.6489,0.316217
716.5807,0.314819
717.5125,0.313823
718.4444,0.313075
719.3762,0.313057
720.3080,0.312387
721.2399,0.308908
722.1717,0.308440
723.1035,0.308479
724.0354,0.306019
724.9672,0.303648
725.8990,0.301795
726.8309,0.303314
727.7627,0.305894
728.6945,0.301878
729.6264,0.296189
730.5582,0.296811
731.4901,0.299262
732.4219,0.297421
733.3537,0.293933
734.2856,0.290934
735.2174,0.290344
736.1492,0.289708
737.0811,0.288733
738.0129,0.287354
738.9447,0.286624
739.8766,0.284925
740.8084,0.282859
741.7402,0.281513
742.6721,0.278655
743.6039,0.276494
744.5357,0.276566
745.4676,0.276376
746.3994,0.276074
747.3312,0.274747
748.2631,0.271298
749.1949,0.268727
750.1267,0.267769
751.0586,0.266235
751.9904,0.264770
752.9222,0.263771
753.8541,0.264308
754.7859,0.264339
755.7177,0.262260
756.6496,0.260134
757.5814,0.259261
758.5132,0.258204
759.4451,0.257234
760.3769,0.254667
761.3088,0.250987
762.2406,0.248905
763.1724,0.250453
764.1043,0.250471
765.0361,0.247921
765.9679,0.246311
766.8998,0.244752
767.8316,0.242800
768.7634,0.242960
769.6953,0.242900
770.6271,0.241013
771.5589,0.238725
772.4908,0.238191
773.4226,0.237272
774.3544,0.234128
775.2863,0.232478
776.2181,0.233155
777.1499,0.231615
778.0818,0.229025
779.0136,0.228394
779.9454,0.227770
