Wavenumber,Intensity
650.4205,0.408357
651.3523,0.414299
652.2841,0.409801
653.2160,0.403811
654.1478,0.402894
655.0796,0.400718
656.0115,0.392952
656.9433,0.394058
657.8751,0.399653
658.8070,0.398887
659.7388,0.394328
660.6706,0.398816
661.6025,0.398373
662.5343,0.401268
663.4661,0.400375
664.3980,0.393966
665.3298,0.384997
666.2616,0.376965
667.1935,0.370534
668.1253,0.385260
669.0571,0.390614
669.9890,0.383448
670.9208,0.382744
671.8526,0.382802
672.7845,0.376902
673.7163,0.367455
674.6481,0.365751
675.5800,0.376869
676.5118,0.379062
677.4437,0.378347
678.3755,0.368068
679.3073,0.361533
680.2392,0.365589
681.1710,0.373097
682.1028,0.371742
683.0347,0.368734
683.9665,0.366977
684.8983,0.359825
685.8302,0.351322
686.7620,0.355661
687.6938,0.358973
688.6257,0.357698
689.5575,0.354969
690.4893,0.350812
691.4212,0.351159
692.3530,0.354785
693.2848,0.351628
694.2167,0.349315
695.1485,0.346979
696.0803,0.346327
697.0122,0.347667
697.9440,0.345853
698.8758,0.341583
699.8077,0.341664
700.7395,0.342954
701.6713,0.341872
702.6032,0.336607
703.5350,0.334303
704.4669,0.333470
705.3987,0.331936
706.3305,0.329559
707.2624,0.332122
708.1942,0.332579
709.1260,0.332152
710.0579,0.328586
710.9897,0.324734
711.9215,0.323733
712.8534,0.322619
713.7852,0.318721
714.7170,0.317307
715.6489,0.318576
716.5807,0.317840
717.5125,0.314898
718.4444,0.311312
719.3762,0.311226
720.3080,0.314541
721.2399,0.312528
722.1717,0.309877
723.1035,0.307478
724.0354,0.306407
724.9672,0.306138
725.8990,0.304384
726.8309,0.303290
727.7627,0.304737
728.6945,0.302703
729.6264,0.299842
730.5582,0.296667
731.4901,0.295945
732.4219,0.296520
733.3537,0.297327
734.2856,0.297036
735.2174,0.295100
736.1492,0.292125
737.0811,0.289388
738.0129,0.287892
738.9447,0.285571
739.8766,0.281262
740.8084,0.282458
741.7402,0.283618
742.6721,0.279960
743.6039,0.278037
744.5357,0.278485
745.4676,0.276004
746.3994,0.271746
747.3312,0.270331
748.2631,0.274322
749.1949,0.274719
750.1267,0.271366
751.0586,0.267197
751.9904,0.264965
752.9222,0.264844
753.8541,0.263986
754.7859,0.262761
755.7177,0.261685
756.6496,0.260421
757.5814,0.260022
758.5132,0.257235
759.4451,0.253563
760.3769,0.253641
761.3088,0.254745
762.2406,0.253832
763.1724,0.251559
764.1043,0.250443
765.0361,0.249968
765.9679,0.248155
766.8998,0.247411
767.8316,0.247319
768.7634,0.245978
769.6953,0.242904
770.6271,0.240671
771.5589,0.239496
772.4908,0.237458
773.4226,0.234975
774.3544,0.234678
775.2863,0.234472
776.2181,0.232857
777.1499,0.230253
778.0818,0.229007
779.0136,0.228228
779.9454,0.227382
780.8773,0.225797
781.8091,0.223919
782.7409,0.223668
783.6728,0.223115
784.6046,0.220887
785.5364,0.219755
786.4683,0.218403
787.4001,0.217642
788.3320,0.216746
789.2638,0.214559
790.1956,0.213047
791.1275,0.211958
792.0593,0.211397
792.9911,0.211433
793.9230,0.209689
794.8548,0.208277
795.7866,0.208040
796.7185,0.207083
797.6503,0.205705
798.5821,0.203861
799.5140,0.201432
800.4458,0.199589
801.3776,0.198724
802.3095,0.198214
803.2413,0.197001
804.1731,0.195597
805.1050,0.194409
806.0368,0.192885
806.9686,0.191299
807.9005,0.191091
808.8323,0.190983
809.7641,0.189092
810.6960,0.185581
811.6278,0.182902
812.5596,0.182513
813.4915,0.182434
814.4233,0.181010
815.3552,0.178694
816.2870,0.176571
817.2188,0.176212
818.1507,0.175743
819.0825,0.174042
820.0143,0.172692
820.9462,0.171492
821.8780,0.169934
822.8098,0.168542
823.7417,0.167539
824.6735,0.166662
825.6053,0.165889
826.5372,0.164724
827.4690,0.163559
828.4008,0.162608
829.3327,0.161061
830.2645,0.160354
831.1963,0.160069
832.1282,0.157832
833.0600,0.155796
833.9918,0.155864
834.9237,0.154749
835.8555,0.152546
836.7873,0.151627
837.7192,0.151411
838.6510,0.150644
839.5828,0.149376
840.5147,0.148048
841.4465,0.146778
842.3784,0.145190
843.3102,0.143819
844.2420,0.143463
845.1739,0.143490
846.1057,0.142698
847.0375,0.141088
847.9694,0.140028
848.9012,0.139781
849.8330,0.139374
850.7649,0.138198
851.6967,0.136557
852.6285,0.135769
853.5604,0.135612
854.4922,0.134492
855.4240,0.133312
856.3559,0.133014
857.2877,0.132797
858.2195,0.132199
859.1514,0.131566
860.0832,0.130926
861.0150,0.130142
861.9469,0.130114
862.8787,0.130024
863.8105,0.129884
864.7424,0.130485
865.6742,0.130938
866.6060,0.130972
867.5379,0.131343
868.4697,0.132808
869.4016,0.135022
870.3334,0.137518
871.2652,0.140633
872.1971,0.144427
873.1289,0.148662
874.0607,0.153035
874.9926,0.157118
875.9244,0.160759
876.8562,0.163524
877.7881,0.164429
878.7199,0.163126
879.6517,0.159428
880.5836,0.154126
881.5154,0.148238
882.4472,0.141865
883.3791,0.135190
884.3109,0.128828
885.2427,0.123342
886.1746,0.117882
887.1064,0.112942
888.0382,0.109239
888.9701,0.105693
889.9019,0.102723
890.8337,0.100779
891.7656,0.098756
892.6974,0.096730
893.6292,0.094942
894.5611,0.093347
895.4929,0.092724
896.4247,0.092003
897.3566,0.090447
898.2884,0.089347
899.2203,0.088723
900.1521,0.087970
901.0839,0.087172
902.0158,0.085996
902.9476,0.085072
903.8794,0.084649
904.8113,0.083929
905.7431,0.083084
906.6749,0.082481
907.6068,0.081804
908.5386,0.081247
909.4704,0.080701
910.4023,0.079836
911.3341,0.079166
912.2659,0.078765
