Wavenumber,Intensity
650.4205,0.386690
651.3523,0.388474
652.2841,0.393025
653.2160,0.396941
654.1478,0.396289
655.0796,0.390172
656.0115,0.380889
656.9433,0.374360
657.8751,0.376348
658.8070,0.382581
659.7388,0.387733
660.6706,0.397663
661.6025,0.394834
662.5343,0.383756
663.4661,0.377287
664.3980,0.374802
665.3298,0.375033
666.2616,0.371859
667.1935,0.354213
668.1253,0.355033
669.0571,0.380912
669.9890,0.384209
670.9208,0.379300
671.8526,0.378115
672.7845,0.375213
673.7163,0.374404
674.6481,0.372154
675.5800,0.371438
676.5118,0.366675
677.4437,0.359759
678.3755,0.356935
679.3073,0.356090
680.2392,0.356896
681.1710,0.359615
682.1028,0.360194
683.0347,0.363118
683.9665,0.364559
684.8983,0.358549
685.8302,0.353760
686.7620,0.354422
687.6938,0.351386
688.6257,0.356353
689.5575,0.356355
690.4893,0.343576
691.4212,0.339584
692.3530,0.347090
693.2848,0.348443
694.2167,0.343108
695.1485,0.341093
696.0803,0.340658
697.0122,0.338981
697.9440,0.337455
698.8758,0.334341
699.8077,0.332730
700.7395,0.330705
701.6713,0.331136
702.6032,0.333244
703.5350,0.333662
704.4669,0.327439
705.3987,0.320375
706.3305,0.319859
707.2624,0.322539
708.1942,0.322738
709.1260,0.321952
710.0579,0.322363
710.9897,0.322250
711.9215,0.319848
712.8534,0.318055
713.7852,0.312223
714.7170,0.308775
715.6489,0.312822
716.5807,0.311499
717.5125,0.307224
718.4444,0.307926
719.3762,0.306548
720.3080,0.302991
721.2399,0.302088
722.1717,0.303777
723.1035,0.302854
724.0354,0.300256
724.9672,0.298206
725.8990,0.298245
726.8309,0.299847
727.7627,0.299657
728.6945,0.295503
729.6264,0.293118
730.5582,0.293066
731.4901,0.292751
732.4219,0.291838
733.3537,0.289021
734.2856,0.289027
735.2174,0.289658
736.1492,0.286847
737.0811,0.284529
738.0129,0.282327
738.9447,0.281132
739.8766,0.279689
740.8084,0.277207
741.7402,0.275981
742.6721,0.274385
743.6039,0.272445
744.5357,0.271380
745.4676,0.271137
746.3994,0.270369
747.3312,0.268320
748.2631,0.268415
749.1949,0.268438
750.1267,0.266348
751.0586,0.263990
751.9904,0.262546
752.9222,0.262317
753.8541,0.260029
754.7859,0.256972
755.7177,0.256641
756.6496,0.256879
757.5814,0.255629
758.5132,0.253706
759.4451,0.252434
760.3769,0.250999
761.3088,0.249492
762.2406,0.248289
763.1724,0.246391
764.1043,0.244863
765.0361,0.245802
765.9679,0.246846
766.8998,0.245516
767.8316,0.243249
768.7634,0.239953
769.6953,0.238404
770.6271,0.238407
771.5589,0.236571
772.4908,0.234827
773.4226,0.234131
774.3544,0.231644
775.2863,0.229634
776.2181,0.230439
777.1499,0.230524
778.0818,0.228087
779.0136,0.225195
779.9454,0.223956
780.8773,0.223970
781.8091,0.223305
782.7409,0.220913
783.6728,0.218892
784.6046,0.217573
785.5364,0.215890
786.4683,0.213498
787.4001,0.212012
788.3320,0.211494
789.2638,0.210389
790.1956,0.208579
791.1275,0.206611
792.0593,0.205709
792.9911,0.205217
793.9230,0.205212
794.8548,0.205209
795.7866,0.204200
796.7185,0.202923
797.6503,0.201285
798.5821,0.199885
799.5140,0.198622
800.4458,0.196689
801.3776,0.195745
802.3095,0.196489
803.2413,0.196036
804.1731,0.193929
805.1050,0.192647
806.0368,0.190513
806.9686,0.187972
807.9005,0.186951
808.8323,0.186387
809.7641,0.185058
810.6960,0.183670
811.6278,0.181771
812.5596,0.180114
813.4915,0.178145
814.4233,0.176105
815.3552,0.175586
816.2870,0.175329
817.2188,0.173962
818.1507,0.172353
819.0825,0.170671
820.0143,0.168775
820.9462,0.167140
821.8780,0.166685
822.8098,0.166093
823.7417,0.165123
824.6735,0.164048
825.6053,0.162398
826.5372,0.161496
827.4690,0.160715
828.4008,0.158556
829.3327,0.157416
830.2645,0.157080
831.1963,0.156190
832.1282,0.154234
833.0600,0.152697
833.9918,0.152007
834.9237,0.151522
835.8555,0.150519
836.7873,0.150331
837.7192,0.149159
838.6510,0.147472
839.5828,0.146028
840.5147,0.144311
841.4465,0.143451
842.3784,0.142844
843.3102,0.142039
844.2420,0.141674
845.1739,0.140499
846.1057,0.138358
847.0375,0.137465
847.9694,0.137483
848.9012,0.136871
849.8330,0.135694
850.7649,0.134946
851.6967,0.135012
852.6285,0.134025
853.5604,0.132389
854.4922,0.132267
855.4240,0.132142
856.3559,0.130258
857.2877,0.128853
858.2195,0.128872
859.1514,0.129223
860.0832,0.128658
861.0150,0.128299
861.9469,0.128283
862.8787,0.128246
863.8105,0.128341
864.7424,0.128822
865.6742,0.129948
866.6060,0.130840
867.5379,0.132283
868.4697,0.134672
869.4016,0.137508
870.3334,0.139908
871.2652,0.142657
872.1971,0.147380
873.1289,0.152945
874.0607,0.158682
874.9926,0.164412
875.9244,0.169507
876.8562,0.172414
877.7881,0.173298
878.7199,0.172363
879.6517,0.168351
880.5836,0.162393
881.5154,0.155359
882.4472,0.147506
883.3791,0.140396
884.3109,0.133638
885.2427,0.126557
886.1746,0.120039
887.1064,0.114778
888.0382,0.110021
888.9701,0.105868
889.9019,0.103011
890.8337,0.100862
891.7656,0.098231
892.6974,0.095914
893.6292,0.094088
894.5611,0.092266
895.4929,0.090979
896.4247,0.089558
897.3566,0.088202
898.2884,0.087372
899.2203,0.086532
900.1521,0.085354
901.0839,0.084320
