Wavenumber,Intensity
650.4205,0.386410
651.3523,0.392178
652.2841,0.393747
653.2160,0.406547
654.1478,0.410910
655.0796,0.391888
656.0115,0.367007
656.9433,0.369301
657.8751,0.381197
658.8070,0.383173
659.7388,0.378619
660.6706,0.378100
661.6025,0.378299
662.5343,0.381521
663.4661,0.376629
664.3980,0.369209
665.3298,0.364309
666.2616,0.364205
667.1935,0.357336
668.1253,0.368634
669.0571,0.391206
669.9890,0.377726
670.9208,0.365913
671.8526,0.370831
672.7845,0.370751
673.7163,0.358186
674.6481,0.354264
675.5800,0.358173
676.5118,0.354599
677.4437,0.351089
678.3755,0.348446
679.3073,0.349668
680.2392,0.353036
681.1710,0.354495
682.1028,0.351981
683.0347,0.349779
683.9665,0.341931
684.8983,0.340725
685.8302,0.345063
686.7620,0.343867
687.6938,0.338001
688.6257,0.336924
689.5575,0.337123
690.4893,0.338588
691.4212,0.336266
692.3530,0.332342
693.2848,0.333066
694.2167,0.334467
695.1485,0.331987
696.0803,0.330104
697.0122,0.326070
697.9440,0.322353
698.8758,0.322636
699.8077,0.325465
700.7395,0.326417
701.6713,0.321112
702.6032,0.316332
703.5350,0.322066
704.4669,0.321142
705.3987,0.317473
706.3305,0.315589
707.2624,0.315445
708.1942,0.313848
709.1260,0.311825
710.0579,0.309572
710.9897,0.310379
711.9215,0.313208
712.8534,0.311789
713.7852,0.306243
714.7170,0.302459
715.6489,0.298068
716.5807,0.297857
717.5125,0.299645
718.4444,0.300863
719.3762,0.298739
720.3080,0.298213
721.2399,0.296723
722.1717,0.293176
723.1035,0.290886
724.0354,0.292368
724.9672,0.291271
725.8990,0.290612
726.8309,0.289398
727.7627,0.286512
728.6945,0.282408
729.6264,0.281954
730.5582,0.282932
731.4901,0.282681
732.4219,0.279222
733.3537,0.278214
734.2856,0.280010
735.2174,0.278116
736.1492,0.273037
737.0811,0.270355
738.0129,0.270210
738.9447,0.270089
739.8766,0.268427
740.8084,0.268036
741.7402,0.265445
742.6721,0.263705
743.6039,0.263022
744.5357,0.262691
745.4676,0.262136
746.3994,0.260242
747.3312,0.258305
748.2631,0.258007
749.1949,0.257050
750.1267,0.254154
751.0586,0.251432
751.9904,0.250358
752.9222,0.250382
753.8541,0.251129
754.7859,0.251706
755.7177,0.250870
756.6496,0.247169
757.5814,0.244087
758.5132,0.242348
759.4451,0.241131
760.3769,0.240633
761.3088,0.238367
762.2406,0.238911
763.1724,0.237964
764.1043,0.232673
765.0361,0.231399
765.9679,0.231898
766.8998,0.230598
767.8316,0.228962
768.7634,0.228726
769.6953,0.228785
770.6271,0.227923
771.5589,0.224844
772.4908,0.225426
773.4226,0.225306
774.3544,0.222511
775.2863,0.219620
776.2181,0.219326
777.1499,0.218862
778.0818,0.216989
779.0136,0.215391
779.9454,0.213575
780.8773,0.211357
781.8091,0.210774
782.7409,0.210310
783.6728,0.209345
784.6046,0.208123
785.5364,0.207192
786.4683,0.206014
787.4001,0.205092
788.3320,0.204615
789.2638,0.202951
790.1956,0.200280
791.1275,0.199674
792.0593,0.198680
792.9911,0.196923
793.9230,0.195842
794.8548,0.194254
795.7866,0.193323
796.7185,0.193924
797.6503,0.192858
798.5821,0.191336
799.5140,0.190121
800.4458,0.188127
801.3776,0.186012
802.3095,0.185985
