Wavenumber,Intensity
650.4205,0.399907
651.3523,0.397828
652.2841,0.401199
653.2160,0.407463
654.1478,0.400322
655.0796,0.405413
656.0115,0.403864
656.9433,0.398828
657.8751,0.398524
658.8070,0.396561
659.7388,0.393584
660.6706,0.393650
661.6025,0.390195
662.5343,0.383282
663.4661,0.383430
664.3980,0.387142
665.3298,0.380183
666.2616,0.378257
667.1935,0.379752
668.1253,0.400792
669.0571,0.398147
669.9890,0.379359
670.9208,0.371480
671.8526,0.373628
672.7845,0.376020
673.7163,0.373407
674.6481,0.371476
675.5800,0.371779
676.5118,0.370425
677.4437,0.369469
678.3755,0.363768
679.3073,0.364002
680.2392,0.363933
681.1710,0.361678
682.1028,0.361072
683.0347,0.363142
683.9665,0.358033
684.8983,0.357075
685.8302,0.356283
686.7620,0.356951
687.6938,0.353933
688.6257,0.350039
689.5575,0.349036
690.4893,0.351459
691.4212,0.350956
692.3530,0.346098
693.2848,0.344039
694.2167,0.349060
695.1485,0.346522
696.0803,0.345555
697.0122,0.346291
697.9440,0.346157
698.8758,0.341871
699.8077,0.337122
700.7395,0.332136
701.6713,0.329111
702.6032,0.330004
703.5350,0.332432
704.4669,0.332268
705.3987,0.333497
706.3305,0.331556
707.2624,0.329413
708.1942,0.329258
709.1260,0.325655
710.0579,0.319340
710.9897,0.320421
711.9215,0.322123
712.8534,0.320663
713.7852,0.319010
714.7170,0.315362
715.6489,0.310318
716.5807,0.313570
717.5125,0.312585
718.4444,0.309563
719.3762,0.311132
720.3080,0.311865
721.2399,0.307383
722.1717,0.306076
723.1035,0.304767
724.0354,0.303777
724.9672,0.300985
725.8990,0.300201
726.8309,0.299415
727.7627,0.296804
728.6945,0.293187
729.6264,0.293217
730.5582,0.296975
731.4901,0.298100
732.4219,0.290504
733.3537,0.288682
734.2856,0.290687
735.2174,0.288744
736.1492,0.285214
737.0811,0.283487
738.0129,0.282157
738.9447,0.282540
739.8766,0.280611
740.8084,0.278205
741.7402,0.277024
742.6721,0.277977
743.6039,0.277524
744.5357,0.273459
745.4676,0.270318
746.3994,0.271339
747.3312,0.270600
748.2631,0.269120
749.1949,0.267476
750.1267,0.266660
751.0586,0.264733
751.9904,0.261632
752.9222,0.259782
753.8541,0.260063
754.7859,0.260653
755.7177,0.259329
756.6496,0.256344
757.5814,0.256062
758.5132,0.254852
759.4451,0.254381
760.3769,0.253317
761.3088,0.250366
762.2406,0.248185
763.1724,0.248447
764.1043,0.248322
765.0361,0.246909
765.9679,0.244364
766.8998,0.243168
767.8316,0.242870
768.7634,0.241872
769.6953,0.240224
770.6271,0.238140
771.5589,0.236579
772.4908,0.235699
773.4226,0.233473
774.3544,0.232003
775.2863,0.231798
776.2181,0.231505
777.1499,0.229164
778.0818,0.226862
779.0136,0.225867
779.9454,0.225921
780.8773,0.224854
781.8091,0.223876
782.7409,0.221666
783.6728,0.219170
784.6046,0.217824
785.5364,0.217301
786.4683,0.216136
787.4001,0.213961
788.3320,0.213381
