Wavenumber,Intensity
650.4205,0.411252
651.3523,0.409581
652.2841,0.400961
653.2160,0.402515
654.1478,0.402921
655.0796,0.403762
656.0115,0.396649
656.9433,0.397281
657.8751,0.389837
658.8070,0.393752
659.7388,0.393849
660.6706,0.391170
661.6025,0.387430
662.5343,0.387963
663.4661,0.384996
664.3980,0.388595
665.3298,0.383739
666.2616,0.380160
667.1935,0.374258
668.1253,0.390200
669.0571,0.403691
669.9890,0.392201
670.9208,0.385020
671.8526,0.383789
672.7845,0.374455
673.7163,0.371115
674.6481,0.370970
675.5800,0.379020
676.5118,0.378662
677.4437,0.372096
678.3755,0.368351
679.3073,0.369843
680.2392,0.366788
681.1710,0.358283
682.1028,0.359267
683.0347,0.369278
683.9665,0.366920
684.8983,0.356944
685.8302,0.357023
686.7620,0.365025
687.6938,0.362136
688.6257,0.356683
689.5575,0.355915
690.4893,0.354775
691.4212,0.354742
692.3530,0.353214
693.2848,0.348200
694.2167,0.348199
695.1485,0.348307
696.0803,0.348044
697.0122,0.342331
697.9440,0.342916
698.8758,0.343293
699.8077,0.339745
700.7395,0.338859
701.6713,0.338821
702.6032,0.337221
703.5350,0.336576
704.4669,0.335846
705.3987,0.333176
706.3305,0.329145
707.2624,0.327891
708.1942,0.324988
709.1260,0.325780
710.0579,0.328383
710.9897,0.330611
711.9215,0.324031
712.8534,0.318382
713.7852,0.319769
714.7170,0.322319
715.6489,0.320102
716.5807,0.319030
717.5125,0.316093
718.4444,0.313118
719.3762,0.312222
720.3080,0.311052
721.2399,0.309633
722.1717,0.312148
723.1035,0.308880
724.0354,0.304565
724.9672,0.301951
725.8990,0.303773
726.8309,0.304608
727.7627,0.301431
728.6945,0.298882
729.6264,0.300150
730.5582,0.298197
731.4901,0.294658
732.4219,0.294956
733.3537,0.293129
734.2856,0.290812
735.2174,0.291959
736.1492,0.291063
737.0811,0.287802
738.0129,0.286872
738.9447,0.288127
739.8766,0.284278
740.8084,0.282528
741.7402,0.283007
742.6721,0.279753
743.6039,0.276958
744.5357,0.278243
745.4676,0.276215
746.3994,0.274254
747.3312,0.271950
748.2631,0.269276
749.1949,0.268521
750.1267,0.268821
751.0586,0.267915
751.9904,0.267577
752.9222,0.265946
753.8541,0.264313
754.7859,0.262691
755.7177,0.261955
756.6496,0.260044
757.5814,0.257184
758.5132,0.257461
759.4451,0.257783
760.3769,0.253915
761.3088,0.251673
762.2406,0.250843
763.1724,0.249810
764.1043,0.249578
765.0361,0.248645
765.9679,0.246102
766.8998,0.245360
767.8316,0.244449
768.7634,0.242339
769.6953,0.240654
770.6271,0.241406
771.5589,0.240053
772.4908,0.237916
773.4226,0.236092
774.3544,0.234496
775.2863,0.233558
776.2181,0.232710
777.1499,0.231675
778.0818,0.230446
779.0136,0.227788
779.9454,0.226112
780.8773,0.226134
781.8091,0.225881
782.7409,0.224630
783.6728,0.223907
784.6046,0.221630
785.5364,0.219782
786.4683,0.218502
787.4001,0.218131
788.3320,0.216353
789.2638,0.213668
790.1956,0.212761
791.1275,0.211760
792.0593,0.210159
792.9911,0.208767
793.9230,0.206232
794.8548,0.204572
795.7866,0.204443
796.7185,0.203789
797.6503,0.203194
798.5821,0.202149
799.5140,0.199565
800.4458,0.199027
801.3776,0.199338
802.3095,0.197881
803.2413,0.195825
804.1731,0.195050
805.1050,0.193600
806.0368,0.192808
806.9686,0.192300
807.9005,0.190600
808.8323,0.187351
809.7641,0.185926
810.6960,0.186511
811.6278,0.184835
812.5596,0.182116
813.4915,0.180804
814.4233,0.179554
815.3552,0.178540
816.2870,0.177724
817.2188,0.176378
818.1507,0.174830
819.0825,0.173295
820.0143,0.171540
820.9462,0.170698
821.8780,0.169748
822.8098,0.168510
823.7417,0.167490
824.6735,0.166454
825.6053,0.165417
826.5372,0.164369
827.4690,0.162745
828.4008,0.161547
829.3327,0.160907
830.2645,0.159594
831.1963,0.158383
832.1282,0.157550
833.0600,0.155948
833.9918,0.153972
834.9237,0.152883
835.8555,0.152293
836.7873,0.151570
837.7192,0.150723
838.6510,0.149500
839.5828,0.148383
840.5147,0.147734
841.4465,0.147289
842.3784,0.146340
843.3102,0.144437
844.2420,0.142955
845.1739,0.142747
846.1057,0.141918
847.0375,0.140883
847.9694,0.140076
848.9012,0.138904
849.8330,0.137838
850.7649,0.137453
851.6967,0.136284
852.6285,0.134749
853.5604,0.134218
854.4922,0.133836
855.4240,0.132459
856.3559,0.131209
857.2877,0.131558
858.2195,0.131954
859.1514,0.130750
860.0832,0.129791
861.0150,0.129929
861.9469,0.130590
862.8787,0.130112
863.8105,0.128696
864.7424,0.128756
865.6742,0.129441
866.6060,0.129917
867.5379,0.130925
868.4697,0.132119
869.4016,0.133485
870.3334,0.135416
871.2652,0.137945
872.1971,0.141355
873.1289,0.145806
874.0607,0.149573
874.9926,0.152160
875.9244,0.155118
876.8562,0.157190
877.7881,0.157333
878.7199,0.155982
