Wavenumber,Intensity
650.4205,0.400852
651.3523,0.405042
652.2841,0.383721
653.2160,0.375260
654.1478,0.381462
655.0796,0.390024
656.0115,0.401775
656.9433,0.403220
657.8751,0.385168
658.8070,0.377406
659.7388,0.376065
660.6706,0.384992
661.6025,0.386218
662.5343,0.381105
663.4661,0.376430
664.3980,0.382964
665.3298,0.379887
666.2616,0.378761
667.1935,0.378995
668.1253,0.380186
669.0571,0.377672
669.9890,0.381301
670.9208,0.375239
671.8526,0.367874
672.7845,0.364917
673.7163,0.363489
674.6481,0.363721
675.5800,0.365400
676.5118,0.360543
677.4437,0.358479
678.3755,0.357575
679.3073,0.364915
680.2392,0.363505
681.1710,0.358870
682.1028,0.357664
683.0347,0.355334
683.9665,0.354865
684.8983,0.358060
685.8302,0.352641
686.7620,0.347131
687.6938,0.346548
688.6257,0.351770
689.5575,0.352862
690.4893,0.348823
691.4212,0.343626
692.3530,0.343324
693.2848,0.341554
694.2167,0.339728
695.1485,0.340043
696.0803,0.345116
697.0122,0.344237
697.9440,0.340055
698.8758,0.338247
699.8077,0.336043
700.7395,0.333287
701.6713,0.330825
702.6032,0.328202
703.5350,0.331496
704.4669,0.333736
705.3987,0.330226
706.3305,0.327452
707.2624,0.328286
708.1942,0.322269
709.1260,0.318452
710.0579,0.317695
710.9897,0.320248
711.9215,0.323325
712.8534,0.319299
713.7852,0.314543
714.7170,0.313185
715.6489,0.310329
716.5807,0.308650
717.5125,0.310716
718.4444,0.310303
719.3762,0.306065
720.3080,0.303953
721.2399,0.303728
722.1717,0.303834
723.1035,0.305079
724.0354,0.303910
724.9672,0.299062
725.8990,0.297581
726.8309,0.297808
727.7627,0.296509
728.6945,0.295903
729.6264,0.295480
730.5582,0.291926
731.4901,0.289441
732.4219,0.288506
733.3537,0.287018
734.2856,0.285889
735.2174,0.284113
736.1492,0.283528
737.0811,0.285215
738.0129,0.283537
738.9447,0.282487
739.8766,0.279016
740.8084,0.276746
741.7402,0.277682
742.6721,0.277329
743.6039,0.273552
744.5357,0.270614
745.4676,0.268982
746.3994,0.267792
747.3312,0.266229
748.2631,0.265284
749.1949,0.264723
750.1267,0.264290
751.0586,0.262424
751.9904,0.260345
752.9222,0.259348
753.8541,0.260119
754.7859,0.259453
755.7177,0.257936
756.6496,0.255862
757.5814,0.255114
758.5132,0.253791
759.4451,0.251282
760.3769,0.249567
761.3088,0.247983
762.2406,0.247551
763.1724,0.249354
764.1043,0.248189
765.0361,0.245363
765.9679,0.243034
766.8998,0.240600
767.8316,0.238773
