Wavenumber,Intensity
650.4205,0.411791
651.3523,0.419462
652.2841,0.405310
653.2160,0.394957
654.1478,0.387521
655.0796,0.388641
656.0115,0.396231
656.9433,0.397972
657.8751,0.390261
658.8070,0.381954
659.7388,0.379894
660.6706,0.385612
661.6025,0.384293
662.5343,0.384633
663.4661,0.381026
664.3980,0.376801
665.3298,0.375424
666.2616,0.367338
667.1935,0.361843
668.1253,0.392543
669.0571,0.412106
669.9890,0.395158
670.9208,0.378493
671.8526,0.372203
672.7845,0.372393
673.7163,0.373086
674.6481,0.370884
675.5800,0.373125
676.5118,0.364814
677.4437,0.360004
678.3755,0.361784
679.3073,0.360957
680.2392,0.356014
681.1710,0.356710
682.1028,0.356623
683.0347,0.356779
683.9665,0.358245
684.8983,0.358642
685.8302,0.354493
686.7620,0.355610
687.6938,0.356945
688.6257,0.358336
689.5575,0.351764
690.4893,0.349040
691.4212,0.346318
692.3530,0.342549
693.2848,0.342772
694.2167,0.343287
695.1485,0.340519
696.0803,0.340172
697.0122,0.337904
697.9440,0.338372
698.8758,0.339792
699.8077,0.339628
700.7395,0.334845
701.6713,0.334480
702.6032,0.334125
703.5350,0.333776
704.4669,0.333315
705.3987,0.331242
706.3305,0.324637
707.2624,0.320501
708.1942,0.319953
709.1260,0.323117
710.0579,0.324277
710.9897,0.321599
711.9215,0.318830
712.8534,0.318935
713.7852,0.317426
714.7170,0.314402
715.6489,0.311357
716.5807,0.313375
717.5125,0.314362
718.4444,0.314114
719.3762,0.311176
720.3080,0.307683
721.2399,0.306632
722.1717,0.305868
723.1035,0.303249
724.0354,0.304493
724.9672,0.303737
725.8990,0.299338
726.8309,0.296182
727.7627,0.296327
728.6945,0.294195
729.6264,0.291113
730.5582,0.290560
731.4901,0.291951
732.4219,0.291799
733.3537,0.291255
734.2856,0.288084
735.2174,0.287927
736.1492,0.287430
737.0811,0.285532
738.0129,0.282651
738.9447,0.280911
739.8766,0.280014
740.8084,0.280151
741.7402,0.279114
742.6721,0.277030
743.6039,0.274122
744.5357,0.272845
745.4676,0.271521
746.3994,0.271480
747.3312,0.270430
748.2631,0.268620
749.1949,0.266631
750.1267,0.265451
751.0586,0.263881
751.9904,0.263529
752.9222,0.262757
753.8541,0.261780
754.7859,0.259176
755.7177,0.256701
756.6496,0.256225
757.5814,0.255884
758.5132,0.254061
759.4451,0.253839
760.3769,0.253571
761.3088,0.252561
762.2406,0.250369
763.1724,0.248887
764.1043,0.248461
765.0361,0.247437
765.9679,0.245238
766.8998,0.241613
767.8316,0.239882
768.7634,0.241446
769.6953,0.240962
770.6271,0.239204
771.5589,0.236343
772.4908,0.235032
773.4226,0.233148
774.3544,0.231744
775.2863,0.231938
776.2181,0.230334
777.1499,0.228485
778.0818,0.228243
779.0136,0.226852
779.9454,0.224241
780.8773,0.223077
781.8091,0.222398
782.7409,0.220113
783.6728,0.219191
784.6046,0.217369
785.5364,0.215665
786.4683,0.214656
787.4001,0.213883
788.3320,0.213263
789.2638,0.212194
790.1956,0.210927
791.1275,0.210041
792.0593,0.208242
792.9911,0.207133
793.9230,0.206468
794.8548,0.205361
795.7866,0.202747
796.7185,0.201555
797.6503,0.201213
798.5821,0.199829
799.5140,0.199048
800.4458,0.198055
801.3776,0.196446
802.3095,0.195573
803.2413,0.195499
804.1731,0.194669
805.1050,0.192444
806.0368,0.190343
806.9686,0.189569
807.9005,0.187580
808.8323,0.185203
809.7641,0.185183
810.6960,0.183771
811.6278,0.180889
812.5596,0.178927
813.4915,0.178006
814.4233,0.177514
815.3552,0.176416
816.2870,0.174418
817.2188,0.171846
818.1507,0.170500
819.0825,0.170227
820.0143,0.169089
820.9462,0.168668
821.8780,0.168403
822.8098,0.167519
823.7417,0.166169
824.6735,0.164357
825.6053,0.162416
826.5372,0.161228
827.4690,0.159913
828.4008,0.158580
829.3327,0.157755
830.2645,0.157313
831.1963,0.156536
832.1282,0.155369
833.0600,0.154609
833.9918,0.153683
834.9237,0.152355
835.8555,0.150933
836.7873,0.149399
837.7192,0.148627
838.6510,0.147544
839.5828,0.146444
840.5147,0.146185
841.4465,0.145409
842.3784,0.142660
843.3102,0.140789
844.2420,0.140949
845.1739,0.140331
846.1057,0.138984
847.0375,0.138557
847.9694,0.138263
848.9012,0.137353
849.8330,0.136359
850.7649,0.135764
851.6967,0.134454
852.6285,0.133386
853.5604,0.132964
854.4922,0.132266
855.4240,0.130980
856.3559,0.130017
857.2877,0.129815
858.2195,0.129931
859.1514,0.129602
860.0832,0.129030
861.0150,0.129162
861.9469,0.129290
862.8787,0.128734
863.8105,0.127652
864.7424,0.126835
865.6742,0.127577
866.6060,0.128928
867.5379,0.130029
868.4697,0.132005
869.4016,0.134537
870.3334,0.136761
