Wavenumber,Intensity
650.4205,0.196572
651.3523,0.194400
652.2841,0.198185
653.2160,0.202062
654.1478,0.197515
655.0796,0.199363
656.0115,0.203455
656.9433,0.203226
657.8751,0.204113
658.8070,0.198296
659.7388,0.188623
660.6706,0.200031
661.6025,0.207019
662.5343,0.200666
663.4661,0.199421
664.3980,0.196393
665.3298,0.194321
666.2616,0.188885
667.1935,0.186105
668.1253,0.196150
669.0571,0.207075
669.9890,0.201291
670.9208,0.198292
671.8526,0.196761
672.7845,0.191111
673.7163,0.190682
674.6481,0.196507
675.5800,0.201486
676.5118,0.195357
677.4437,0.187467
678.3755,0.186446
679.3073,0.189808
680.2392,0.190210
681.1710,0.189598
682.1028,0.190066
683.0347,0.190181
683.9665,0.190541
684.8983,0.189907
685.8302,0.187513
686.7620,0.187636
687.6938,0.186589
688.6257,0.186257
689.5575,0.187309
690.4893,0.188416
691.4212,0.188223
692.3530,0.186797
693.2848,0.185494
694.2167,0.184514
695.1485,0.181377
696.0803,0.182657
697.0122,0.185792
697.9440,0.186637
698.8758,0.185955
699.8077,0.186053
700.7395,0.185343
701.6713,0.185050
702.6032,0.182390
703.5350,0.180249
704.4669,0.177988
705.3987,0.175415
706.3305,0.175007
707.2624,0.177614
708.1942,0.178477
709.1260,0.178366
710.0579,0.177810
710.9897,0.175943
711.9215,0.173679
712.8534,0.173393
713.7852,0.175562
714.7170,0.174412
715.6489,0.173132
716.5807,0.175308
717.5125,0.174262
718.4444,0.170796
719.3762,0.171460
720.3080,0.174752
721.2399,0.173581
722.1717,0.169803
723.1035,0.168083
724.0354,0.168129
724.9672,0.168169
725.8990,0.168831
726.8309,0.167693
727.7627,0.165939
728.6945,0.165261
729.6264,0.164392
730.5582,0.165120
731.4901,0.165805
732.4219,0.164688
733.3537,0.164700
734.2856,0.163628
735.2174,0.161999
736.1492,0.160319
737.0811,0.158765
738.0129,0.158966
738.9447,0.160379
739.8766,0.159934
740.8084,0.158775
741.7402,0.157225
742.6721,0.156902
743.6039,0.157722
744.5357,0.157899
745.4676,0.157259
746.3994,0.157228
747.3312,0.155900
748.2631,0.152987
749.1949,0.151673
750.1267,0.152037
751.0586,0.152120
751.9904,0.152439
752.9222,0.151496
753.8541,0.149627
754.7859,0.149042
755.7177,0.148588
756.6496,0.148801
757.5814,0.149114
758.5132,0.146327
759.4451,0.144382
760.3769,0.145630
761.3088,0.146470
762.2406,0.145187
763.1724,0.144629
764.1043,0.144405
765.0361,0.144268
765.9679,0.143945
766.8998,0.142341
767.8316,0.141437
768.7634,0.141485
769.6953,0.140517
770.6271,0.138872
771.5589,0.137586
772.4908,0.137118
773.4226,0.136556
774.3544,0.135333
775.2863,0.134592
776.2181,0.134975
777.1499,0.135351
778.0818,0.135629
779.0136,0.135531
779.9454,0.134161
780.8773,0.131753
781.8091,0.130421
782.7409,0.129935
783.6728,0.129999
784.6046,0.130579
785.5364,0.130499
786.4683,0.129569
787.4001,0.128819
788.3320,0.127222
789.2638,0.126181
790.1956,0.126405
791.1275,0.125844
792.0593,0.124943
792.9911,0.124756
793.9230,0.123346
794.8548,0.121805
795.7866,0.120694
796.7185,0.119807
797.6503,0.119636
798.5821,0.119264
799.5140,0.118755
800.4458,0.118310
801.3776,0.117794
802.3095,0.117630
803.2413,0.117539
804.1731,0.116770
805.1050,0.115799
806.0368,0.114567
806.9686,0.113524
807.9005,0.113891
808.8323,0.113701
809.7641,0.112545
810.6960,0.112630
811.6278,0.112262
812.5596,0.110933
813.4915,0.109972
814.4233,0.108788
815.3552,0.108104
816.2870,0.107548
817.2188,0.106245
818.1507,0.105407
819.0825,0.105734
820.0143,0.105590
820.9462,0.103880
821.8780,0.102299
822.8098,0.102237
823.7417,0.101478
824.6735,0.100533
825.6053,0.101422
826.5372,0.102119
827.4690,0.100643
828.4008,0.099159
829.3327,0.098851
830.2645,0.097514
831.1963,0.096093
832.1282,0.096457
833.0600,0.096104
833.9918,0.095236
834.9237,0.095066
835.8555,0.094503
836.7873,0.093506
837.7192,0.092948
838.6510,0.092821
839.5828,0.092455
840.5147,0.091464
841.4465,0.090233
842.3784,0.089217
843.3102,0.088815
844.2420,0.088310
845.1739,0.087321
846.1057,0.086442
847.0375,0.086172
847.9694,0.085976
848.9012,0.085899
849.8330,0.085801
850.7649,0.084595
851.6967,0.083719
852.6285,0.083437
853.5604,0.082516
854.4922,0.081588
855.4240,0.080720
856.3559,0.080150
857.2877,0.079922
858.2195,0.079520
859.1514,0.079006
860.0832,0.078925
861.0150,0.078500
861.9469,0.077334
862.8787,0.076528
863.8105,0.076394
864.7424,0.076258
865.6742,0.075508
866.6060,0.074257
867.5379,0.073483
868.4697,0.073453
869.4016,0.073544
870.3334,0.073086
871.2652,0.072340
872.1971,0.071769
873.1289,0.071385
874.0607,0.071076
874.9926,0.071068
875.9244,0.071067
876.8562,0.071442
877.7881,0.071485
878.7199,0.070799
879.6517,0.070140
880.5836,0.069223
881.5154,0.068138
882.4472,0.067125
883.3791,0.066093
884.3109,0.065393
885.2427,0.064475
886.1746,0.063920
887.1064,0.063667
888.0382,0.062913
888.9701,0.062247
889.9019,0.061559
890.8337,0.060835
891.7656,0.060264
892.6974,0.059580
893.6292,0.058860
894.5611,0.058682
895.4929,0.058640
896.4247,0.057973
897.3566,0.057438
898.2884,0.057078
899.2203,0.056630
900.1521,0.056249
901.0839,0.055855
902.0158,0.055404
902.9476,0.054744
903.8794,0.054318
904.8113,0.053837
905.7431,0.053795
906.6749,0.053841
907.6068,0.053319
908.5386,0.052516
909.4704,0.051904
910.4023,0.051682
911.3341,0.051165
912.2659,0.050695
913.1978,0.050296
914.1296,0.049774
