Wavenumber,Intensity
650.4205,0.407351
651.3523,0.408034
652.2841,0.400768
653.2160,0.403664
654.1478,0.409439
655.0796,0.411209
656.0115,0.401086
656.9433,0.393718
657.8751,0.394839
658.8070,0.396309
659.7388,0.395465
660.6706,0.396508
661.6025,0.405500
662.5343,0.397877
663.4661,0.380931
664.3980,0.383951
665.3298,0.385218
666.2616,0.374829
667.1935,0.367989
668.1253,0.400297
669.0571,0.415903
669.9890,0.390213
670.9208,0.376933
671.8526,0.371867
672.7845,0.369896
673.7163,0.369555
674.6481,0.372108
675.5800,0.368269
676.5118,0.354829
677.4437,0.355042
678.3755,0.363741
679.3073,0.366151
680.2392,0.363882
681.1710,0.362808
682.1028,0.360521
683.0347,0.358576
683.9665,0.357226
684.8983,0.360223
685.8302,0.357515
686.7620,0.353838
687.6938,0.352739
688.6257,0.358486
689.5575,0.359515
690.4893,0.354437
691.4212,0.346017
692.3530,0.344456
693.2848,0.345132
694.2167,0.345012
695.1485,0.343096
696.0803,0.342806
697.0122,0.341138
697.9440,0.340217
698.8758,0.340027
699.8077,0.336676
700.7395,0.333477
701.6713,0.332281
702.6032,0.332535
703.5350,0.333771
704.4669,0.329125
705.3987,0.328408
706.3305,0.332100
707.2624,0.332199
708.1942,0.330831
709.1260,0.329508
710.0579,0.326946
710.9897,0.325687
711.9215,0.319871
712.8534,0.321016
713.7852,0.325058
714.7170,0.322930
715.6489,0.318381
716.5807,0.315904
717.5125,0.310167
718.4444,0.309101
719.3762,0.310749
720.3080,0.311007
721.2399,0.307053
722.1717,0.304016
723.1035,0.301966
724.0354,0.301976
724.9672,0.304905
725.8990,0.305018
726.8309,0.300761
727.7627,0.299998
728.6945,0.300272
729.6264,0.296143
730.5582,0.292034
731.4901,0.291214
732.4219,0.291381
733.3537,0.291934
734.2856,0.289873
735.2174,0.289286
736.1492,0.289043
737.0811,0.286942
738.0129,0.283560
738.9447,0.283467
739.8766,0.284007
740.8084,0.282618
741.7402,0.280308
742.6721,0.277911
743.6039,0.277618
744.5357,0.278036
745.4676,0.275904
746.3994,0.273635
747.3312,0.271687
748.2631,0.269258
749.1949,0.268414
750.1267,0.268874
751.0586,0.266676
751.9904,0.264831
752.9222,0.263473
753.8541,0.261995
754.7859,0.262118
755.7177,0.261490
756.6496,0.259483
757.5814,0.257960
758.5132,0.257283
759.4451,0.256552
760.3769,0.254646
761.3088,0.252742
762.2406,0.250749
763.1724,0.249666
764.1043,0.248254
765.0361,0.246411
765.9679,0.244509
766.8998,0.244127
767.8316,0.243677
768.7634,0.243369
769.6953,0.240841
770.6271,0.237921
771.5589,0.236262
772.4908,0.236547
773.4226,0.236719
774.3544,0.235200
775.2863,0.234039
776.2181,0.233236
777.1499,0.231780
778.0818,0.231329
779.0136,0.229207
779.9454,0.225672
780.8773,0.223603
781.8091,0.222365
782.7409,0.221286
783.6728,0.221292
784.6046,0.218981
785.5364,0.215580
786.4683,0.215501
787.4001,0.216315
788.3320,0.213929
789.2638,0.211640
790.1956,0.212111
791.1275,0.212489
792.0593,0.210946
792.9911,0.208722
793.9230,0.206869
794.8548,0.205945
795.7866,0.204980
796.7185,0.203785
797.6503,0.203429
798.5821,0.202795
799.5140,0.200872
800.4458,0.199561
801.3776,0.197620
802.3095,0.195930
803.2413,0.194573
804.1731,0.193744
805.1050,0.193376
806.0368,0.191247
806.9686,0.189211
807.9005,0.188952
808.8323,0.187269
809.7641,0.185461
810.6960,0.185259
811.6278,0.185090
812.5596,0.183301
813.4915,0.179917
814.4233,0.177854
815.3552,0.178484
816.2870,0.177433
817.2188,0.175582
818.1507,0.174899
819.0825,0.173085
820.0143,0.171322
820.9462,0.170003
821.8780,0.168748
822.8098,0.167913
823.7417,0.165780
824.6735,0.164505
825.6053,0.164986
826.5372,0.163498
827.4690,0.160976
828.4008,0.159675
829.3327,0.158380
830.2645,0.157424
831.1963,0.157087
832.1282,0.156325
833.0600,0.154759
833.9918,0.154161
834.9237,0.153898
835.8555,0.152412
836.7873,0.150873
837.7192,0.150229
838.6510,0.149530
839.5828,0.148001
840.5147,0.146267
841.4465,0.145075
